Player,Team,Age,Height,Weight,GP,MIN,STL,BLK,Deflections,ChargesDrawn,Fouls Committed Shoot,Fouls Drawn Off.
Markieff Morris,LAL,30,80,245,58,1188,31,17,70,1,71,4
Marko Guduric,MEM,25,78,201,44,484,12,8,32,1,22,4
Marques Bolden,CLE,22,82,249,1,3,1,0,1,0,1,0
Marquese Chriss,GSW,22,81,240,59,1196,39,62,89,3,57,7
Marvin Bagley III,SAC,21,83,235,13,334,6,12,13,1,21,4
Marvin Williams,MIL,34,80,237,58,1129,36,30,73,6,38,6
Mason Plumlee,DEN,30,83,254,61,1057,33,38,80,7,61,9
Matisse Thybulle,PHI,23,77,201,65,1287,93,47,167,0,73,13
Matt Mooney,CLE,23,74,199,4,19,2,1,3,0,1,0
Matt Thomas,TOR,25,76,190,41,440,10,1,16,1,22,1
Matthew Dellavedova,CLE,29,75,200,57,821,20,2,35,4,26,19
Maurice Harkless,NYK,27,79,220,62,1427,58,33,135,0,97,2
Max Strus,CHI,24,77,215,2,6,0,0,0,0,0,0
Maxi Kleber,DAL,28,82,240,74,1890,25,83,64,7,103,12
Melvin Frazier,ORL,23,77,215,19,126,9,2,10,0,7,1
Meyers Leonard,MIA,28,84,260,51,1034,14,15,31,3,67,7
Mfiondu Kabengele,LAC,22,81,250,12,64,2,2,5,0,8,0
Michael Carter-Williams,ORL,28,77,190,45,833,49,22,74,9,33,32
Michael Frazier II,HOU,26,75,200,13,145,2,0,9,1,11,1
Michael Kidd-Gilchrist,DAL,26,78,232,25,281,2,6,8,0,17,1
Michael Porter Jr.,DEN,22,82,218,55,903,27,25,47,0,54,3
Mikal Bridges,PHX,23,78,209,73,2042,102,46,203,1,87,26
Mike Conley,UTA,32,73,175,47,1363,36,5,62,7,35,30
Mike Muscala,OKC,28,82,240,47,572,9,12,26,2,39,7
Mike Scott,PHI,31,79,237,68,1207,22,5,37,0,48,3
Miles Bridges,CHA,22,78,225,65,1996,40,48,84,2,61,7
Mitchell Robinson,NYK,22,84,240,61,1412,52,119,101,2,121,4
Miye Oni,UTA,22,77,206,10,109,4,2,6,0,3,3
Mo Bamba,ORL,22,84,231,62,878,23,86,34,0,77,2
Monte Morris,DEN,25,74,183,73,1637,55,17,89,4,30,10
Montrezl Harrell,LAC,26,79,240,63,1749,39,72,56,30,89,36
Moritz Wagner,WAS,23,83,245,45,835,28,19,66,27,70,38
Moses Brown,POR,20,86,245,9,33,1,1,3,0,6,0
Mychal Mulder,GSW,26,75,184,7,204,2,1,5,0,10,0
Myles Turner,IND,24,83,250,62,1826,46,132,98,3,95,15
Nassir Little,POR,20,77,220,48,572,13,14,20,0,47,2
Naz Mitrou-Long,IND,26,75,218,5,47,1,1,4,1,0,1
Naz Reid,MIN,20,81,264,30,495,19,22,34,2,54,4
Nemanja Bjelica,SAC,32,82,234,72,2011,62,40,145,0,103,7
Nerlens Noel,OKC,26,82,220,61,1127,59,91,159,7,85,15
Nickeil Alexander-Walker,NOP,21,77,205,47,591,17,8,42,4,33,15
Nicolas Batum,CHA,31,81,230,22,505,17,8,28,5,13,13
Nicolas Claxton,BKN,21,83,215,15,187,1,8,5,0,5,2
Nicolo Melli,NOP,29,81,236,60,1042,34,23,69,1,72,12
Nigel Williams-Goss,UTA,25,74,190,10,50,3,1,3,0,3,0
Nikola Jokic,DEN,25,84,284,73,2335,85,44,204,5,98,19
Nikola Vucevic,ORL,29,83,260,62,1998,54,47,108,0,87,2
Noah Vonleh,DEN,24,82,257,36,378,11,6,19,0,18,1
Norman Powell,TOR,27,75,215,52,1479,60,21,126,0,38,5
Norvel Pelle,PHI,27,82,231,24,232,3,31,5,0,34,0
OG Anunoby,TOR,22,79,232,69,2066,96,45,172,4,75,15
Omari Spellman,MIN,22,80,245,49,886,33,24,53,0,33,2
Oshae Brissett,TOR,22,79,210,19,135,4,1,9,0,9,0
Otto Porter Jr.,CHI,27,80,198,14,331,15,6,18,1,18,2
P.J. Tucker,HOU,35,77,245,72,2467,77,36,154,24,121,42
P.J. Washington,CHA,21,79,230,58,1759,51,44,131,0,98,5
PJ Dozier,DEN,23,78,205,29,412,14,6,22,1,14,6
Pascal Siakam,TOR,26,81,230,60,2110,61,53,99,1,59,2
Pat Connaughton,MIL,27,77,209,67,1243,25,31,40,0,46,7
Patrick Beverley,LAC,31,73,180,51,1342,54,25,114,8,54,28
Patrick McCaw,TOR,24,79,181,37,908,39,4,59,0,32,1
Patrick Patterson,LAC,31,80,235,59,776,7,3,13,4,24,8
Patty Mills,SAS,31,73,180,66,1485,53,6,75,6,28,31
Paul George,LAC,30,80,220,48,1419,68,20,142,7,50,17
Paul Millsap,DEN,35,79,257,51,1240,44,30,79,4,78,5
Paul Watson,TOR,25,78,210,10,87,4,1,3,0,3,1
Quinn Cook,LAL,27,73,180,44,508,12,2,16,0,11,4
Quinndary Weatherspoon,SAS,23,75,205,11,78,3,1,7,0,3,0
RJ Barrett,NYK,20,78,214,56,1704,55,17,76,2,58,11
Rajon Rondo,LAL,34,73,180,48,984,40,2,71,0,16,11
Raul Neto,PHI,28,73,180,54,668,24,6,50,4,30,23
Rayjon Tucker,UTA,22,75,209,20,161,1,1,2,3,4,10
Reggie Bullock,NYK,29,78,205,29,684,25,3,50,3,25,6
Reggie Jackson,LAC,30,75,208,31,743,13,5,39,0,22,6
Richaun Holmes,SAC,26,82,235,44,1242,41,56,91,0,74,2
Ricky Rubio,PHX,29,75,190,65,2016,94,11,175,8,54,49
Robert Covington,HOU,29,79,209,70,2137,115,93,237,6,111,18
Robert Williams III,BOS,22,80,237,29,388,22,35,40,0,29,3
Robin Lopez,MIL,32,84,281,66,958,10,45,20,1,55,5
Rodions Kurucs,BKN,22,81,228,47,684,25,5,42,2,37,7
Rodney Hood,POR,27,80,208,21,619,17,4,30,1,16,7
Rodney McGruder,LAC,28,76,205,56,871,26,8,52,2,36,11
Romeo Langford,BOS,20,76,216,32,370,8,8,21,5,19,10
Rondae Hollis-Jefferson,TOR,25,78,217,60,1122,46,23,91,3,45,17
Royce O'Neale,UTA,27,76,226,71,2049,59,32,102,1,89,19
Rudy Gay,SAS,33,80,250,67,1461,35,33,78,1,55,8
Rudy Gobert,UTA,28,85,258,68,2333,51,135,107,0,110,14
Rui Hachimura,WAS,22,80,230,48,1444,37,8,72,1,42,7
Russell Westbrook,HOU,31,75,200,57,2049,93,20,150,2,68,5
Ryan Anderson,HOU,32,81,240,2,14,1,0,1,0,1,0
Ryan Arcidiacono,CHI,26,75,195,58,930,27,3,48,19,45,32
Ryan Broekhoff,PHI,29,78,215,17,180,5,4,10,1,8,1
Sekou Doumbouya,DET,19,80,230,38,754,20,8,23,0,29,3
Semi Ojeleye,BOS,25,78,240,69,1011,21,5,35,12,38,18
Serge Ibaka,TOR,30,84,235,55,1485,28,46,56,0,69,0
Seth Curry,DAL,29,74,185,64,1576,38,9,90,4,39,11
Shabazz Napier,WAS,28,72,175,56,1344,69,11,133,2,32,19
Shai Gilgeous-Alexander,OKC,21,77,180,70,2428,79,47,144,2,53,9
Shake Milton,PHI,23,77,205,40,805,20,7,37,2,51,6
Shamorie Ponds,TOR,22,72,175,4,11,0,1,1,0,2,0
Shaquille Harrison,CHI,26,79,190,43,484,34,19,66,0,20,4
Sindarius Thornwell,NOP,25,76,215,2,35,1,1,2,0,1,0
Skal Labissiere,ATL,24,82,235,33,567,7,31,13,0,45,3
Solomon Hill,MIA,29,78,226,59,1088,43,12,87,0,43,7
Spencer Dinwiddie,BKN,27,77,215,64,1994,40,21,71,2,64,14
Stanley Johnson,TOR,24,78,242,25,150,6,4,7,0,7,1
Stanton Kidd,UTA,28,78,216,4,15,0,0,0,0,3,0
Stephen Curry,GSW,32,75,185,5,139,5,2,11,0,3,1
Sterling Brown,MIL,25,77,219,52,767,29,7,46,1,27,2
Steven Adams,OKC,26,83,265,63,1681,51,67,90,3,62,5
Svi Mykhailiuk,DET,23,79,205,56,1265,41,4,78,1,35,10
T.J. Leaf,IND,23,82,222,28,222,10,4,12,0,12,2
T.J. McConnell,IND,28,73,190,71,1326,56,11,127,5,32,20
T.J. Warren,IND,26,80,220,67,2202,78,34,195,4,74,21
Tacko Fall,BOS,24,89,311,7,33,1,4,1,0,6,0
Taj Gibson,NYK,35,81,232,62,1025,27,30,44,0,56,3
Talen Horton-Tucker,LAL,19,76,234,6,81,8,1,10,0,6,0
Tariq Owens,PHX,25,82,205,3,15,1,0,1,0,0,0
Taurean Prince,BKN,26,79,218,64,1857,57,25,120,10,65,20
Terance Mann,LAC,23,77,215,41,362,11,5,25,1,18,2
Terence Davis,TOR,23,76,201,72,1209,39,14,70,3,53,4
Terrance Ferguson,OKC,22,78,190,56,1257,27,17,62,0,67,17
Terrence Ross,ORL,29,78,206,69,1889,77,24,133,0,49,0
Terry Rozier,CHA,26,73,190,63,2164,61,10,96,0,49,20
Thabo Sefolosha,HOU,36,78,215,41,436,24,12,58,0,21,2
Thaddeus Young,CHI,32,80,235,64,1591,92,23,175,13,69,26
Thanasis Antetokounmpo,MIL,27,78,219,20,129,7,2,6,0,6,1
Theo Pinson,NYK,24,77,212,33,365,17,4,36,1,20,5
Thomas Bryant,WAS,22,82,248,46,1147,25,49,35,1,48,4
Thon Maker,DET,23,84,221,60,776,25,39,52,2,64,3
Tim Frazier,DET,29,72,170,27,355,14,4,22,3,16,11
Tim Hardaway Jr.,DAL,28,77,205,71,2091,41,5,79,7,50,25
Timothe Luwawu-Cabarrot,BKN,25,79,220,47,853,18,7,40,3,43,7
Tobias Harris,PHI,27,80,226,72,2469,53,40,76,0,87,3
Tomas Satoransky,CHI,28,79,210,65,1878,80,7,132,7,60,21
Tony Bradley,UTA,22,82,248,58,663,14,33,26,0,75,1
Tony Snell,DET,28,78,213,59,1641,32,15,94,0,50,6
Torrey Craig,DEN,29,79,221,58,1072,23,36,47,0,77,5
Trae Young,ATL,21,73,180,60,2120,65,8,105,13,43,29
Tremont Waters,BOS,22,70,175,11,119,10,2,15,0,5,0
Treveon Graham,ATL,26,77,219,55,929,24,6,37,5,45,18
Trevor Ariza,POR,35,80,215,53,1492,69,15,147,1,33,15
Trey Burke,DAL,27,72,185,33,520,16,2,29,1,10,3
Trey Lyles,SAS,24,81,234,63,1271,28,28,50,1,60,3
Tristan Thompson,CLE,29,81,254,57,1722,33,50,60,0,61,4
Troy Brown Jr.,WAS,20,78,215,69,1782,85,7,135,2,53,14
Troy Daniels,DEN,28,76,200,47,532,11,3,26,0,19,1
Ty Jerome,PHX,22,77,195,31,328,15,3,23,1,12,4
Tyler Cook,DEN,22,80,255,13,54,3,0,4,0,5,0
Tyler Herro,MIA,20,77,195,55,1508,34,9,57,0,36,5
Tyler Johnson,BKN,28,75,186,39,709,16,9,35,4,26,9
Tyler Zeller,SAS,30,83,250,2,4,0,0,0,0,0,0
Tyrone Wallace,ATL,26,77,198,14,160,7,1,14,1,11,3
Tyson Chandler,HOU,37,84,235,26,219,6,8,8,1,21,2
Tyus Jones,MEM,24,72,196,65,1232,59,6,76,1,19,8
Udonis Haslem,MIA,40,80,235,4,44,0,0,1,1,2,2
Vic Law,ORL,24,79,201,8,62,2,0,2,0,4,1
Victor Oladipo,IND,28,76,213,19,528,17,4,27,10,14,17
Vince Carter,ATL,43,78,220,60,876,23,25,61,1,44,4
Vincent Poirier,BOS,26,84,235,22,130,2,9,6,0,15,1
Vlatko Cancar,DEN,23,80,236,14,45,1,1,4,0,3,0
Wayne Ellington,NYK,32,76,207,36,558,13,4,25,0,20,3
Wendell Carter Jr.,CHI,21,81,270,43,1256,33,36,53,3,83,10
Wenyen Gabriel,POR,23,81,205,30,235,11,7,19,0,16,1
Wes Iwundu,ORL,25,78,195,52,953,25,13,50,0,33,1
Wesley Matthews,MIL,33,76,220,67,1635,38,9,92,6,36,28
Will Barton,DEN,29,77,181,58,1916,61,29,90,1,58,8
William Howard,HOU,26,80,207,2,13,0,0,0,0,1,0
Willie Cauley-Stein,DAL,26,84,240,54,1097,49,61,95,2,67,4
Willy Hernangomez,CHA,26,83,250,31,375,10,7,19,1,18,2
Wilson Chandler,BKN,33,80,235,35,734,16,12,17,0,46,1
Yogi Ferrell,SAC,27,72,178,50,530,18,4,20,4,11,16
Yuta Watanabe,MEM,25,80,215,18,105,5,1,2,1,5,1
Zach Collins,POR,22,83,250,11,290,5,5,10,0,23,2
Zach LaVine,CHI,25,78,200,60,2085,88,28,124,0,63,7
Zach Norvell,GSW,22,77,205,5,41,2,0,1,1,1,1
Zhaire Smith,PHI,21,75,205,7,32,3,0,8,0,4,0
Zion Williamson,NOP,19,78,284,24,668,16,9,36,1,16,4
Zylan Cheatham,NOP,24,77,220,4,51,1,1,3,0,5,0
