Player,Team,Age,Height,Weight,GP,MIN,STL,BLK,Deflections,ChargesDrawn,Fouls Committed Shoot,Fouls Drawn Off.
Aron Baynes,BOS,31.0,82,260,81,1484,22,51,24,17,100,4
Arron Afflalo,ORL,32.0,77,210,53,682,4,9,8,0,31,2
Austin Rivers,LAC,25.0,76,200,61,2057,74,16,122,3,66,9
Avery Bradley,LAC,27.0,74,180,46,1433,51,8,89,5,46,7
Bam Adebayo,MIA,20.0,82,255,69,1368,32,41,73,1,67,10
Ben McLemore,MEM,25.0,77,195,56,1091,38,15,74,2,58,7
Ben Moore,IND,23.0,80,220,2,9,0,0,0,0,3,0
Ben Simmons,PHI,21.0,82,230,81,2732,140,70,234,3,74,9
Bismack Biyombo,ORL,25.0,81,255,82,1495,21,95,43,1,88,4
Blake Griffin,DET,29.0,82,251,58,1970,40,18,81,12,47,15
Boban Marjanovic,LAC,29.0,87,290,39,338,10,11,14,0,21,0
Bobby Brown,HOU,33.0,74,175,20,115,4,0,3,0,4,0
Bobby Portis,CHI,23.0,83,248,73,1643,50,23,93,1,58,4
Bogdan Bogdanovic,SAC,25.0,78,205,78,2175,72,16,167,0,81,7
Bojan Bogdanovic,IND,29.0,80,230,80,2464,55,8,87,2,57,10
Bradley Beal,WAS,25.0,77,207,82,2977,96,36,165,4,89,14
Brandan Wright,HOU,30.0,82,235,28,381,13,26,24,0,22,0
Brandon Ingram,LAL,20.0,81,190,59,1975,45,43,105,1,85,4
Brandon Jennings,MIL,28.0,73,170,14,205,6,4,12,0,3,1
Brandon Paul,SAS,27.0,76,200,64,576,25,7,44,11,25,9
Briante Weber,MEM,25.0,74,165,18,237,18,5,25,1,9,3
Brice Johnson,MEM,24.0,82,230,18,98,9,6,11,0,8,0
Brook Lopez,LAL,30.0,84,268,74,1735,30,98,75,0,97,3
Bruno Caboclo,SAC,22.0,81,205,12,106,3,4,5,0,4,0
Bryn Forbes,SAS,24.0,75,190,80,1517,28,2,40,0,48,11
Buddy Hield,SAC,25.0,76,214,80,2024,85,22,151,0,59,5
C.J. Williams,LAC,28.0,77,230,38,707,31,13,55,0,32,2
CJ McCollum,POR,26.0,75,190,81,2924,77,35,125,1,78,7
CJ Miles,TOR,31.0,78,225,69,1318,37,21,75,6,68,0
Caleb Swanigan,POR,21.0,80,250,27,189,5,3,4,0,18,2
Cameron Payne,CHI,23.0,75,185,25,582,26,9,53,0,23,4
Caris LeVert,BKN,23.0,79,203,71,1864,82,22,164,6,64,12
Carmelo Anthony,OKC,34.0,80,240,78,2501,47,49,106,0,89,8
Cedi Osman,CLE,23.0,80,215,61,672,22,3,52,0,33,8
Chandler Parsons,MEM,29.0,82,230,36,691,18,11,34,3,28,2
Channing Frye,LAL,35.0,83,255,53,695,18,13,26,2,39,3
Charles Cooke,NOP,23.0,77,196,12,36,1,0,2,0,0,1
Cheick Diallo,NOP,21.0,81,220,51,567,11,21,19,0,40,1
Chinanu Onuaku,HOU,21.0,82,245,1,22,0,0,0,0,0,0
Chris Boucher,GSW,25.0,82,200,1,1,0,0,0,0,0,0
Chris McCullough,WAS,23.0,81,215,19,90,0,5,1,0,4,0
Chris Paul,HOU,33.0,72,175,58,1847,96,14,172,2,56,2
Clint Capela,HOU,24.0,82,240,74,2034,58,137,75,8,75,4
Cody Zeller,CHA,25.0,84,240,33,627,14,21,23,2,31,5
Cole Aldrich,MIN,29.0,83,253,21,49,2,1,8,0,2,0
Corey Brewer,OKC,32.0,81,186,72,1209,79,14,129,11,52,16
Cory Joseph,IND,26.0,75,190,82,2210,80,18,122,6,68,18
Courtney Lee,NYK,32.0,77,200,76,2310,80,17,148,2,45,3
Cristiano Felicio,CHI,25.0,81,280,55,977,16,11,32,0,39,2
D'Angelo Russell,BKN,22.0,77,195,48,1234,36,17,80,0,37,5
D.J. Augustin,ORL,30.0,72,183,75,1760,54,0,68,8,32,12
D.J. Wilson,MIL,22.0,82,236,22,71,3,1,3,0,6,0
Dakari Johnson,OKC,22.0,84,255,31,161,6,8,12,0,14,2
Damian Jones,GSW,23.0,84,245,15,89,1,3,3,0,7,1
Damian Lillard,POR,27.0,75,195,73,2670,77,27,130,7,50,34
Damien Wilkins,IND,38.0,78,217,19,152,2,1,3,0,5,0
Damion Lee,ATL,25.0,78,210,15,404,19,1,25,0,12,4
Damyean Dotson,NYK,24.0,77,210,44,474,12,2,13,0,18,3
Daniel Hamilton,OKC,22.0,79,195,6,28,1,0,1,0,1,0
Daniel Theis,BOS,26.0,81,243,63,936,30,48,56,0,103,1
Danilo Gallinari,LAC,29.0,82,225,21,671,13,10,38,2,12,2
Danny Green,SAS,31.0,78,215,70,1791,63,80,141,3,67,7
Dante Cunningham,BKN,31.0,80,230,73,1562,39,30,76,1,65,5
Dante Exum,UTA,22.0,78,190,14,235,8,3,14,2,10,1
Danuel House Jr.,PHX,25.0,79,220,23,403,7,6,12,0,10,2
Dario Saric,PHI,24.0,82,223,78,2310,51,20,101,1,73,3
Darius Miller,NOP,28.0,80,225,81,1923,27,17,64,0,94,5
Darrell Arthur,DEN,30.0,81,235,19,141,8,3,16,0,14,0
Darren Collison,IND,30.0,74,185,69,2018,92,15,159,0,53,13
Darrun Hilliard,SAS,25.0,78,220,14,95,2,0,4,0,5,1
David Nwaba,CHI,25.0,76,209,70,1646,59,29,102,0,81,7
David Stockton,UTA,27.0,71,165,3,9,0,0,0,0,3,0
David West,GSW,37.0,81,250,73,999,47,75,93,1,66,0
Davis Bertans,SAS,25.0,82,210,77,1086,26,28,48,1,47,4
Davon Reed,PHX,23.0,78,210,21,242,10,2,17,1,11,1
De'Aaron Fox,SAC,20.0,75,175,73,2026,70,20,111,3,80,12
DeAndre Jordan,LAC,29.0,83,265,77,2423,39,70,81,1,90,2
DeAndre Liggins,NOP,30.0,78,209,58,724,37,14,65,8,38,4
DeAndre' Bembry,ATL,23.0,78,210,26,455,21,12,40,1,19,6
DeMar DeRozan,TOR,28.0,79,220,80,2712,85,22,140,2,50,4
DeMarcus Cousins,NOP,27.0,83,270,48,1737,79,76,130,24,62,5
DeMarre Carroll,BKN,31.0,80,215,73,2180,59,30,125,4,72,8
Dejounte Murray,SAS,21.0,77,170,81,1743,97,31,169,0,71,4
Delon Wright,TOR,26.0,77,190,68,1423,69,33,137,6,34,7
Demetrius Jackson,PHI,23.0,73,201,15,80,5,1,5,0,4,0
Dennis Schroder,ATL,24.0,73,172,67,2078,72,6,111,16,57,18
Dennis Smith Jr.,DAL,20.0,75,195,69,2049,71,18,147,4,68,2
Denzel Valentine,CHI,24.0,78,214,77,2095,65,11,127,1,80,1
Derrick Favors,UTA,26.0,82,265,77,2153,54,82,98,0,93,8
Derrick Jones Jr.,MIA,21.0,79,200,20,245,4,13,8,1,13,2
Derrick Rose,MIN,29.0,75,190,25,419,7,4,13,0,9,2
Derrick Walton,MIA,23.0,73,185,16,147,7,3,8,0,5,1
Derrick White,SAS,23.0,76,190,17,139,4,3,9,1,6,0
Derrick Williams,LAL,27.0,80,240,2,9,0,0,0,0,0,0
Devin Booker,PHX,21.0,78,210,54,1865,47,14,73,4,55,9
Devin Harris,DEN,35.0,75,185,71,1340,47,12,95,12,55,17
Devin Robinson,WAS,23.0,80,200,1,13,1,0,1,1,1,0
Dewayne Dedmon,ATL,28.0,84,245,62,1542,40,51,80,4,84,4
Deyonta Davis,MEM,21.0,83,237,62,943,15,39,46,0,71,1
Dillon Brooks,MEM,22.0,78,220,82,2350,73,17,143,5,90,18
Dion Waiters,MIA,26.0,76,215,30,918,23,9,44,0,31,3
Dirk Nowitzki,DAL,40.0,84,245,77,1900,43,45,75,0,102,3
Domantas Sabonis,IND,22.0,82,252,74,1810,40,32,76,2,107,4
Donovan Mitchell,UTA,21.0,75,215,79,2638,118,27,179,1,95,20
Dorian Finney-Smith,DAL,25.0,80,220,21,448,10,4,19,1,20,1
Doug McDermott,DAL,26.0,80,219,81,1768,19,16,39,0,51,1
Dragan Bender,PHX,20.0,85,225,82,2069,22,53,42,0,109,9
Draymond Green,GSW,28.0,79,230,70,2287,95,91,217,5,93,6
Dwayne Bacon,CHA,22.0,79,221,53,713,16,2,18,0,22,1
Dwight Buycks,DET,29.0,75,190,29,427,19,2,44,2,18,1
Dwight Howard,CHA,32.0,83,265,81,2463,48,131,128,0,103,2
Dwight Powell,DAL,26.0,83,240,79,1672,67,32,131,7,95,10
Dwyane Wade,MIA,36.0,76,220,67,1536,61,47,125,1,64,4
E'Twaun Moore,NOP,29.0,76,191,81,2554,79,11,140,0,71,6
Ed Davis,POR,29.0,82,245,78,1471,32,52,61,1,111,5
Edmond Sumner,IND,22.0,77,188,1,2,0,0,0,0,1,0
Ekpe Udoh,UTA,31.0,82,245,63,810,43,74,71,0,60,4
Elfrid Payton,PHX,24.0,76,185,63,1809,83,22,143,0,62,6
Emeka Okafor,NOP,35.0,82,255,26,353,8,25,17,1,15,0
Emmanuel Mudiay,NYK,22.0,77,200,64,1244,41,11,72,1,41,2
Enes Kanter,NYK,26.0,83,245,71,1830,36,37,68,1,109,1
Eric Bledsoe,MIL,28.0,73,205,74,2322,149,42,249,3,62,15
Eric Gordon,HOU,29.0,76,215,69,2154,44,27,96,2,52,4
Eric Moreland,DET,26.0,82,238,67,805,31,51,61,13,50,0
Erik McCree,UTA,24.0,80,225,4,8,1,0,0,0,0,0
Ersan Ilyasova,PHI,31.0,82,235,69,1730,61,26,117,32,78,22
Evan Fournier,ORL,25.0,79,205,57,1837,47,16,124,1,65,4
Evan Turner,POR,29.0,79,220,79,2034,47,29,77,0,76,11
Frank Kaminsky,CHA,25.0,84,242,79,1835,36,19,42,3,61,3
Frank Mason III,SAC,24.0,71,190,52,984,34,10,47,0,27,2
Frank Ntilikina,NYK,19.0,77,190,78,1706,65,18,124,1,78,7
Fred VanVleet,TOR,24.0,72,195,75,1498,67,19,127,6,52,9
Furkan Korkmaz,PHI,20.0,79,190,14,80,2,1,3,0,7,0
Garrett Temple,SAC,32.0,78,195,65,1615,57,27,121,1,64,14
Gary Harris,DEN,23.0,76,210,67,2305,122,15,203,4,41,11
Gary Payton II,LAL,25.0,75,190,23,221,7,3,20,0,14,0
George Hill,CLE,32.0,75,188,67,1812,61,27,120,2,54,12
Georges Niang,UTA,25.0,78,231,9,32,2,0,2,0,1,0
Georgios Papagiannis,POR,20.0,85,240,17,122,4,6,5,0,8,1
Gerald Green,HOU,32.0,79,205,41,929,24,15,43,1,50,2
Gian Clavell,DAL,24.0,76,185,7,64,2,0,5,0,3,2
Giannis Antetokounmpo,MIL,23.0,83,222,75,2756,109,106,189,0,83,3
Glenn Robinson III,IND,24.0,79,215,23,338,13,1,18,0,9,2
Goran Dragic,MIA,32.0,75,190,75,2378,63,12,110,5,63,12
Gordon Hayward,BOS,28.0,80,226,1,5,0,0,0,0,1,0
Gorgui Dieng,MIN,28.0,83,251,79,1333,45,39,106,14,79,1
Greg Monroe,BOS,28.0,83,265,51,1041,44,23,77,2,52,1
Guerschon Yabusele,BOS,22.0,80,260,33,235,4,5,11,0,11,0
Harrison Barnes,DAL,26.0,80,225,77,2634,49,14,83,1,42,1
Hassan Whiteside,MIA,29.0,84,265,54,1364,37,94,62,1,66,1
Henry Ellenson,DET,21.0,83,245,38,329,5,0,8,0,11,0
Ian Clark,NOP,27.0,75,175,74,1454,33,10,51,1,57,8
Ian Mahinmi,WAS,31.0,83,262,77,1145,38,42,86,3,96,6
Ike Anigbogu,IND,19.0,82,262,11,30,1,3,1,0,0,0
Iman Shumpert,SAC,28.0,77,220,14,276,9,4,27,0,10,4
Isaiah Canaan,PHX,27.0,72,201,20,422,16,1,31,2,10,4
Isaiah Hicks,NYK,23.0,81,242,18,239,2,4,8,0,23,2
Isaiah Taylor,ATL,23.0,75,170,67,1167,34,10,53,2,36,12
Isaiah Thomas,LAL,29.0,69,185,32,862,15,3,21,3,26,7
Isaiah Whitehead,BKN,23.0,76,213,16,180,8,2,9,0,10,0
Ish Smith,DET,29.0,72,175,82,2043,64,20,117,11,76,10
Ivan Rabb,MEM,21.0,82,220,36,516,12,13,23,0,42,2
Ivica Zubac,LAL,21.0,85,240,43,410,8,15,12,0,28,0
J.J. Barea,DAL,34.0,72,185,69,1603,35,3,48,3,24,27
JJ Redick,PHI,34.0,76,200,70,2116,35,6,56,5,58,5
JR Smith,CLE,32.0,78,225,80,2244,68,11,122,3,71,10
JaKarr Sampson,SAC,25.0,81,207,22,344,8,22,20,1,23,3
JaMychal Green,MEM,28.0,81,227,55,1542,32,25,69,3,73,1
JaVale McGee,GSW,30.0,84,270,65,615,21,57,46,0,45,0
Jabari Bird,BOS,23.0,78,198,13,115,3,1,7,0,2,0
Jabari Parker,MIL,23.0,80,250,31,743,25,10,41,0,22,1
Jack Cooley,SAC,27.0,82,274,7,87,1,0,1,0,6,1
Jacob Pullen,PHI,28.0,73,200,3,6,0,0,0,0,0,0
Jacob Wiley,BKN,23.0,80,223,5,33,1,0,1,0,2,0
Jae Crowder,UTA,27.0,78,235,80,2090,64,21,119,2,86,5
Jahlil Okafor,BKN,22.0,83,260,28,353,3,18,3,0,37,2
Jake Layman,POR,24.0,81,210,35,160,6,4,6,0,10,0
Jakob Poeltl,TOR,22.0,84,230,81,1507,39,97,82,4,112,5
Jalen Jones,DAL,25.0,79,220,15,179,5,1,12,1,11,0
Jamal Crawford,MIN,38.0,77,185,80,1653,40,9,74,1,40,11
Jamal Murray,DEN,21.0,76,207,81,2565,79,28,166,5,78,10
Jameel Warney,DAL,24.0,80,260,3,27,0,0,0,0,0,0
Jameer Nelson,DET,36.0,72,190,49,987,26,4,46,4,33,8
Jamel Artis,ORL,25.0,79,213,15,279,2,3,10,0,6,1
James Ennis III,DET,27.0,79,210,72,1604,47,18,93,1,45,6
James Harden,HOU,28.0,77,220,72,2551,126,50,205,2,66,10
James Johnson,MIA,31.0,80,240,73,1943,70,51,142,0,97,1
James Michael McAdoo,PHI,25.0,81,230,3,18,0,1,0,0,1,0
James Webb III,BKN,24.0,81,202,10,120,1,0,6,0,5,0
James Young,PHI,22.0,78,215,6,61,0,0,1,0,4,0
Jamil Wilson,LAC,27.0,79,229,15,274,5,8,12,2,22,0
Jared Dudley,PHX,32.0,79,240,48,686,24,11,41,3,28,6
Jarell Eddie,CHI,26.0,79,218,3,9,1,0,1,0,0,0
Jarell Martin,MEM,24.0,82,239,73,1661,39,49,81,6,113,3
Jarrett Allen,BKN,20.0,83,234,72,1441,28,88,58,0,95,1
Jarrett Jack,NYK,34.0,75,200,62,1548,35,4,65,2,41,9
Jason Smith,WAS,32.0,84,240,33,285,3,13,6,3,20,4
Jason Terry,MIL,40.0,74,185,51,814,42,13,67,1,22,1
Jawun Evans,LAC,21.0,72,190,48,778,36,6,83,5,48,19
Jaylen Brown,BOS,21.0,79,225,70,2152,70,26,141,5,58,12
Jaylen Morris,ATL,22.0,77,185,6,98,2,1,6,1,0,0
Jayson Tatum,BOS,20.0,80,205,80,2443,83,58,135,1,84,4
Jeff Green,CLE,31.0,81,235,78,1828,41,34,78,7,74,12
Jeff Teague,MIN,30.0,74,189,70,2311,102,23,190,7,84,11
Jeff Withey,DAL,28.0,84,230,10,39,0,3,0,0,3,1
Jerami Grant,OKC,24.0,81,220,81,1647,31,77,53,17,87,16
Jeremy Evans,ATL,30.0,81,200,1,5,0,0,0,0,1,0
Jeremy Lamb,CHA,26.0,77,185,80,1967,61,32,124,1,64,5
Jeremy Lin,BKN,29.0,75,200,1,25,0,0,3,0,2,0
Jerian Grant,CHI,25.0,76,198,74,1686,63,8,109,3,55,10
Jerryd Bayless,PHI,29.0,75,200,39,925,23,6,40,2,43,3
Jimmy Butler,MIN,28.0,80,236,59,2164,116,24,206,7,39,4
Joakim Noah,NYK,33.0,83,230,7,40,2,2,4,0,3,0
Jodie Meeks,WAS,30.0,76,210,77,1119,29,4,47,1,27,5
Joe Harris,BKN,26.0,78,219,78,1975,35,20,60,2,75,7
Joe Ingles,UTA,30.0,80,226,82,2578,90,20,189,0,75,7
Joe Johnson,HOU,37.0,79,240,55,1205,18,7,37,0,32,4
Joe Young,IND,26.0,74,185,53,558,14,1,29,2,17,3
Joel Bolomboy,MIL,24.0,81,235,6,38,2,0,2,0,2,0
Joel Embiid,PHI,24.0,84,250,63,1912,40,111,67,1,99,7
Joffrey Lauvergne,SAS,26.0,83,260,55,534,9,3,11,0,22,0
John Collins,ATL,20.0,82,235,74,1785,47,80,75,1,115,5
John Henson,MIL,27.0,83,229,76,1970,45,109,112,0,102,5
John Holland,CLE,29.0,77,205,24,174,7,2,10,2,8,1
John Wall,WAS,27.0,76,210,41,1410,57,45,111,4,43,6
Johnathan Motley,DAL,23.0,82,230,11,176,3,2,5,0,10,2
Johnny O'Bryant III,CHA,25.0,81,257,36,379,9,6,13,5,21,2
Jon Leuer,DET,29.0,82,228,8,136,1,3,1,0,9,0
Jonas Jerebko,UTA,31.0,82,231,74,1134,24,12,43,6,58,3
Jonas Valanciunas,TOR,26.0,84,255,77,1727,29,69,61,3,95,2
Jonathan Gibson,BOS,30.0,74,185,4,40,0,0,1,0,4,1
Jonathan Isaac,ORL,20.0,82,210,27,535,33,30,60,4,31,1
Jonathon Simmons,ORL,28.0,78,195,69,2029,58,16,118,5,69,14
Jordan Bell,GSW,23.0,81,224,57,809,35,56,67,0,63,1
Jordan Clarkson,CLE,26.0,77,194,81,1887,58,6,88,0,31,10
Jordan Crawford,NOP,29.0,77,195,5,53,1,1,2,0,3,0
Jordan Mickey,MIA,23.0,80,235,23,284,6,10,17,0,12,0
Jose Calderon,CLE,36.0,75,200,57,914,27,2,57,6,36,7
Josh Gray,PHX,24.0,73,180,5,86,8,2,10,0,5,0
Josh Hart,LAL,23.0,77,215,63,1461,47,16,79,2,66,6
Josh Huestis,OKC,26.0,79,230,69,982,15,43,29,1,49,5
Josh Jackson,PHX,21.0,80,200,77,1959,80,35,119,6,92,9
Josh Magette,ATL,28.0,73,160,18,216,8,1,11,3,3,1
Josh McRoberts,DAL,31.0,82,240,2,6,0,0,0,0,1,0
Josh Richardson,MIA,24.0,78,200,81,2689,121,75,216,8,93,18
Josh Smith,NOP,32.0,81,225,3,12,0,0,0,0,1,0
Jrue Holiday,NOP,28.0,76,205,81,2927,123,64,257,2,93,10
Juancho Hernangomez,DEN,22.0,81,230,25,277,6,3,12,1,14,1
Julius Randle,LAL,23.0,81,250,82,2190,43,45,88,2,97,5
Julyan Stone,CHA,29.0,78,200,23,175,4,2,10,0,14,3
Justin Anderson,PHI,24.0,78,230,38,519,15,7,26,2,26,1
Justin Holiday,CHI,29.0,78,185,72,2265,80,31,160,1,72,8
Justin Jackson,SAC,23.0,80,210,68,1506,28,13,39,0,45,7
Justin Patton,MIN,21.0,84,236,1,4,1,0,1,0,0,0
Justise Winslow,MIA,22.0,79,225,68,1680,54,33,102,1,73,4
Jusuf Nurkic,POR,23.0,84,280,79,2088,64,111,132,2,110,3
Kadeem Allen,BOS,25.0,75,200,18,107,3,2,8,0,7,1
Karl-Anthony Towns,MIN,22.0,84,248,82,2918,64,115,118,17,127,22
Kawhi Leonard,SAS,27.0,79,230,9,210,18,9,24,0,4,0
Kay Felder,DET,23.0,69,176,16,140,3,1,8,2,5,4
Kelly Olynyk,MIA,27.0,84,245,76,1779,62,35,141,15,116,13
Kelly Oubre Jr.,WAS,22.0,79,205,81,2231,80,35,216,10,93,16
Kemba Walker,CHA,28.0,73,184,80,2736,91,24,150,24,60,25
Kendrick Perkins,CLE,33.0,82,270,1,15,1,0,2,0,0,0
Kenneth Faried,DEN,28.0,80,228,32,461,12,13,22,5,25,1
Kent Bazemore,ATL,28.0,77,201,65,1789,100,45,186,1,66,15
Kentavious Caldwell-Pope,LAL,25.0,77,205,74,2458,106,16,173,6,62,17
Kevin Durant,GSW,29.0,81,240,68,2325,50,119,99,3,77,3
Kevin Love,CLE,29.0,82,251,59,1651,43,24,78,11,61,8
Kevon Looney,GSW,22.0,81,220,66,910,34,56,48,1,46,2
Khem Birch,ORL,25.0,81,220,42,578,15,21,29,2,34,1
Khris Middleton,MIL,26.0,80,234,82,2982,119,21,222,11,114,2
Klay Thompson,GSW,28.0,79,215,73,2504,55,34,83,0,59,2
Kobi Simmons,MEM,20.0,76,170,32,643,18,5,25,6,29,5
Kosta Koufos,SAC,29.0,84,265,71,1391,47,32,87,0,60,3
Kris Dunn,CHI,24.0,76,210,52,1525,104,27,164,0,76,4
Kristaps Porzingis,NYK,22.0,87,240,48,1553,36,115,71,7,68,12
Kyle Anderson,SAS,24.0,81,230,74,1978,115,60,186,4,44,10
Kyle Collinsworth,DAL,26.0,78,210,32,480,17,9,40,0,15,2
Kyle Korver,CLE,37.0,79,212,73,1574,31,27,54,4,64,5
Kyle Kuzma,LAL,22.0,81,220,77,2401,49,34,78,6,80,6
Kyle Lowry,TOR,32.0,72,205,78,2510,85,19,179,37,70,20
Kyle O'Quinn,NYK,28.0,82,250,77,1387,36,98,79,1,93,2
Kyle Singler,OKC,30.0,80,228,12,59,1,0,3,0,1,0
Kyrie Irving,BOS,26.0,75,193,60,1931,65,17,119,6,52,4
LaMarcus Aldridge,SAS,32.0,83,260,75,2509,43,90,112,0,96,3
Lance Stephenson,IND,27.0,78,230,82,1850,46,17,110,0,51,10
Lance Thomas,NYK,30.0,80,235,73,1353,30,14,64,6,53,12
Langston Galloway,DET,26.0,74,200,58,863,35,5,55,1,16,3
Larry Drew II,NOP,28.0,74,180,10,70,0,0,0,0,2,0
Larry Nance Jr.,CLE,25.0,81,230,66,1421,88,38,158,2,71,6
Lauri Markkanen,CHI,21.0,84,230,68,2020,39,40,74,1,49,4
LeBron James,CLE,33.0,80,250,82,3026,116,71,178,12,44,4
London Perrantes,CLE,23.0,74,190,14,66,2,1,4,0,3,0
Lonzo Ball,LAL,20.0,78,190,52,1780,88,43,149,0,50,10
Lorenzo Brown,TOR,27.0,77,189,14,139,5,0,11,0,5,0
Lou Williams,LAC,31.0,73,175,79,2589,85,19,164,4,38,7
Luc Mbah a Moute,HOU,31.0,80,230,61,1564,72,25,112,3,48,2
Lucas Nogueira,TOR,25.0,84,220,48,415,23,43,45,0,24,0
Luis Montero,DET,25.0,79,200,2,8,0,0,0,0,0,0
Luke Babbitt,MIA,29.0,81,225,50,715,8,7,17,0,31,3
Luke Kennard,DET,22.0,77,200,73,1463,44,13,63,1,51,0
Luke Kornet,NYK,22.0,85,250,20,326,6,16,15,0,16,3
Luol Deng,LAL,33.0,81,220,1,13,1,0,1,0,0,0
Malachi Richardson,TOR,22.0,78,205,26,323,10,1,17,1,12,1
Malcolm Brogdon,MIL,25.0,77,215,48,1436,41,13,58,1,57,3
Malcolm Delaney,ATL,29.0,75,190,54,1014,35,6,72,12,29,18
Malcolm Miller,TOR,25.0,79,210,15,126,1,2,3,0,5,1
Malik Beasley,DEN,21.0,77,196,62,583,15,7,23,3,19,6
Malik Monk,CHA,20.0,75,200,63,854,20,9,41,1,32,5
Mangok Mathiang,CHA,25.0,82,230,4,20,1,0,1,0,4,0
Manu Ginobili,SAS,40.0,78,205,65,1299,43,16,127,15,39,15
MarShon Brooks,MEM,29.0,77,200,7,193,11,3,18,0,2,0
Marc Gasol,MEM,33.0,85,255,73,2408,54,101,126,10,84,3
Marcin Gortat,WAS,34.0,83,240,82,2074,40,61,61,21,80,6
Marco Belinelli,PHI,32.0,77,210,80,1947,66,12,108,0,38,6
Marcus Georges-Hunt,MIN,24.0,77,226,42,224,6,0,14,2,15,2
Marcus Morris Sr.,BOS,28.0,81,235,54,1442,35,12,48,2,54,3
Marcus Paige,CHA,24.0,72,164,5,28,0,0,0,0,0,0
Marcus Smart,BOS,24.0,76,220,54,1614,71,23,154,13,59,19
Mario Chalmers,MEM,32.0,74,190,66,1421,79,14,128,13,70,33
Mario Hezonja,ORL,23.0,80,218,75,1657,81,31,138,2,78,4
Markel Brown,HOU,26.0,75,190,4,31,0,0,2,0,4,1
Markelle Fultz,PHI,20.0,76,200,14,253,12,4,16,0,12,1
Markieff Morris,WAS,28.0,82,245,73,1968,56,38,97,4,111,3
Marquese Chriss,PHX,20.0,82,240,72,1527,51,70,66,1,95,2
Marquis Teague,MEM,25.0,74,189,3,74,4,0,7,0,5,1
Marreese Speights,ORL,30.0,82,255,52,675,8,22,16,19,58,0
Marshall Plumlee,MIL,25.0,84,250,8,52,0,1,3,0,4,0
Marvin Williams,CHA,32.0,81,237,78,2006,56,38,132,0,39,9
Mason Plumlee,DEN,28.0,83,255,74,1439,49,81,127,7,81,3
Matt Costello,SAS,24.0,82,240,4,32,2,2,2,0,6,0
Matt Williams Jr.,MIA,24.0,77,210,3,11,0,0,2,0,0,0
Matthew Dellavedova,MIL,27.0,76,198,38,712,14,0,24,4,24,5
Maurice Harkless,POR,25.0,81,220,59,1264,48,43,91,0,60,2
Maxi Kleber,DAL,26.0,83,220,72,1206,26,47,57,3,63,4
Meyers Leonard,POR,26.0,85,255,33,254,7,0,9,0,21,0
Michael Beasley,NYK,29.0,81,235,74,1653,36,43,99,0,85,4
Michael Carter-Williams,CHA,26.0,78,190,52,835,44,23,74,1,42,20
Michael Kidd-Gilchrist,CHA,24.0,79,232,74,1850,51,32,80,5,74,22
