Player,Team,Age,Height,Weight,GP,MIN,STL,BLK,Deflections,ChargesDrawn,Fouls Committed Shoot,Fouls Drawn Off.
Aaron Brooks,MIN,33.0,72,161,32,189,6,0,10,1,14,2
Aaron Gordon,ORL,22.0,81,220,58,1909,59,45,82,4,52,4
Aaron Harrison,DAL,23.0,78,210,9,233,9,2,18,0,13,2
Aaron Jackson,HOU,32.0,75,183,1,35,0,0,4,0,1,0
Abdel Nader,BOS,24.0,78,230,48,522,15,10,33,0,26,2
Adreian Payne,ORL,27.0,82,237,5,43,2,0,5,0,2,0
Al Horford,BOS,32.0,82,245,72,2277,43,78,95,0,70,3
Al Jefferson,IND,33.0,82,280,36,484,16,23,32,2,43,0
Al-Farouq Aminu,POR,27.0,81,220,69,2072,79,40,154,0,62,8
Alan Williams,PHX,25.0,80,265,5,70,5,1,5,0,9,0
Alec Burks,UTA,26.0,78,214,64,1059,37,8,55,1,27,4
Alec Peters,PHX,23.0,81,235,20,225,2,2,10,2,9,0
Alex Abrines,OKC,24.0,78,190,75,1134,38,8,67,2,68,3
Alex Caruso,LAL,24.0,77,186,37,562,23,10,46,3,29,5
Alex Len,PHX,25.0,85,250,69,1395,27,61,52,0,76,2
Alex Poythress,IND,24.0,81,235,25,104,3,1,4,0,7,1
Alfonzo McKinnie,TOR,25.0,80,215,13,50,1,1,2,0,4,0
Allen Crabbe,BKN,26.0,78,215,75,2197,47,35,112,1,86,7
Amir Johnson,PHI,31.0,81,240,74,1170,45,44,72,6,102,4
Andre Drummond,DET,24.0,83,279,78,2625,114,127,250,1,88,8
Andre Iguodala,GSW,34.0,78,215,64,1622,54,38,92,1,48,5
Andre Ingram,LAL,32.0,75,190,2,64,3,3,2,2,1,1
Andre Roberson,OKC,26.0,79,210,39,1037,45,35,88,1,37,8
Andrew Bogut,LAL,33.0,84,260,24,216,4,13,7,2,16,1
Andrew Harrison,MEM,23.0,78,213,56,1326,38,26,95,12,48,12
Andrew White III,ATL,25.0,79,210,15,209,3,1,5,0,7,2
Andrew Wiggins,MIN,23.0,80,202,82,2979,91,51,139,0,90,8
Ante Zizic,CLE,21.0,83,250,32,214,2,13,4,0,20,1
Anthony Brown,MIN,25.0,79,224,1,4,0,0,0,0,0,0
Anthony Davis,NOP,25.0,82,253,75,2727,115,193,180,11,98,7
Anthony Tolliver,DET,33.0,80,240,79,1757,32,21,55,18,64,6
Antonio Blakeney,CHI,21.0,76,197,19,314,7,1,12,0,8,1
Antonius Cleveland,ATL,24.0,78,195,17,123,7,5,15,1,12,0
