Player,Team,Age,Height,Weight,GP,MIN,STL,BLK,Deflections
Davis Bertans,SAS,24,82,210,67,808,20,28,37
DeAndre Jordan,LAC,28,83,265,81,2570,51,134,96
DeAndre Liggins,DAL,29,78,209,62,777,47,14,98
DeAndre' Bembry,ATL,22,78,210,38,371,8,5,25
DeMar DeRozan,TOR,27,79,220,74,2620,78,13,138
DeMarcus Cousins,NOP,26,83,270,72,2465,100,93,242
DeMarre Carroll,TOR,30,80,212,72,1881,81,27,175
Dejounte Murray,SAS,20,77,170,38,321,8,6,31
Delon Wright,TOR,25,77,190,27,446,27,11,66
Demetrius Jackson,BOS,22,73,201,5,17,0,0,1
Dennis Schroder,ATL,23,73,172,79,2485,74,16,130
Denzel Valentine,CHI,23,78,212,57,977,30,7,55
Deron Williams,CLE,33,75,200,64,1657,31,8,80
Derrick Favors,UTA,25,82,265,50,1186,45,40,94
Derrick Jones Jr.,PHX,20,79,190,32,545,14,13,27
Derrick Rose,NYK,28,75,190,64,2082,44,17,88
Derrick Williams,CLE,26,80,240,50,804,14,7,27
Devin Booker,PHX,20,78,206,78,2731,72,21,121
Devin Harris,DAL,34,75,185,65,1087,43,7,82
Dewayne Dedmon,SAS,27,84,245,76,1330,37,61,75
Deyonta Davis,MEM,20,82,240,36,238,3,17,12
Diamond Stone,LAC,20,83,255,7,24,0,1,1
Dion Waiters,MIA,25,76,220,46,1384,42,20,91
Dirk Nowitzki,DAL,39,84,245,54,1424,30,38,70
Domantas Sabonis,OKC,21,83,240,81,1631,39,32,75
Donatas Motiejunas,NOP,26,84,222,34,479,18,11,34
Dorian Finney-Smith,DAL,24,80,220,81,1642,52,25,90
Doug McDermott,OKC,25,80,219,66,1508,13,5,30
Dragan Bender,PHX,19,85,225,43,574,10,22,21
Draymond Green,GSW,27,79,230,76,2471,154,106,295
Dwight Howard,ATL,31,83,265,74,2199,64,92,130
Dwight Powell,DAL,25,83,240,77,1333,61,39,115
Dwyane Wade,CHI,35,76,220,60,1792,86,41,145
E'Twaun Moore,NOP,28,76,191,73,1820,50,32,110
Ed Davis,POR,28,82,245,46,789,15,22,28
Edy Tavares,CLE,25,87,265,2,28,0,6,0
