Player,Team,Age,Height,Weight,GP,MIN,STL,BLK,Deflections
Julius Randle,LAL,22,81,250,74,2132,49,37,99
Justin Anderson,PHI,23,78,228,75,1227,41,23,75
Justin Hamilton,BKN,27,84,255,64,1177,29,43,59
Justin Harper,PHI,27,82,225,3,31,0,0,1
Justin Holiday,NYK,28,78,185,82,1639,65,31,124
Justise Winslow,MIA,21,79,225,18,625,26,6,42
Jusuf Nurkic,POR,22,84,280,65,1391,50,74,126
KJ McDaniels,BKN,24,78,205,49,506,19,18,26
Karl-Anthony Towns,MIN,21,84,244,82,3030,56,103,94
Kawhi Leonard,SAS,26,79,230,74,2474,133,55,251
Kay Felder,CLE,22,69,176,42,386,18,7,33
Kelly Olynyk,BOS,26,84,238,75,1538,44,29,100
Kelly Oubre Jr.,WAS,21,79,205,79,1605,58,17,196
Kemba Walker,CHA,27,73,184,79,2739,85,22,173
Kenneth Faried,DEN,27,80,228,61,1296,43,40,77
Kent Bazemore,ATL,27,77,201,73,1963,91,52,197
Kentavious Caldwell-Pope,DET,24,77,205,76,2528,89,12,173
Kevin Durant,GSW,28,81,240,62,2070,66,99,136
Kevin Love,CLE,28,82,251,60,1885,53,21,94
Kevin Seraphin,IND,27,82,278,49,559,7,20,18
Kevon Looney,GSW,21,81,220,53,447,15,17,19
Khris Middleton,MIL,25,80,234,29,889,41,7,88
Klay Thompson,GSW,27,79,215,78,2649,66,40,113
Kosta Koufos,SAC,28,84,265,71,1419,36,48,77
Kris Dunn,MIN,23,76,205,78,1333,78,36,171
Kris Humphries,ATL,32,81,235,56,689,15,21,34
Kristaps Porzingis,NYK,21,87,240,66,2164,47,129,97
Kyle Anderson,SAS,23,81,230,72,1020,51,26,91
Kyle Korver,CLE,36,79,212,67,1753,34,21,76
Kyle Lowry,TOR,31,72,205,60,2244,88,19,223
Kyle O'Quinn,NYK,27,82,250,79,1229,36,104,66
Kyle Singler,OKC,29,80,228,32,385,7,5,17
Kyle Wiltjer,HOU,24,82,240,14,44,3,1,3
