Player,Team,Age,Height,Weight,GP,MIN,STL,BLK,Deflections,ChargesDrawn,Fouls Committed Shoot,Fouls Drawn Off.
Devin Vassell,SAS,20,77,200,62,1056,43,18,82,0,51,3
Devon Dotson,CHI,21,74,185,11,50,4,0,8,0,1,1
Devontae Cacok,LAL,24,79,240,20,98,5,4,10,0,4,0
Devonte' Graham,CHA,26,73,195,55,1659,48,6,100,9,31,12
Dewayne Dedmon,MIA,31,84,245,16,210,9,6,14,1,18,1
Didi Louzada,NOP,21,77,188,3,56,2,0,3,0,2,0
Dillon Brooks,MEM,25,79,225,67,1997,78,26,185,2,98,13
Domantas Sabonis,IND,25,83,240,62,2231,76,33,140,2,87,9
Donovan Mitchell,UTA,24,73,215,53,1771,52,15,93,2,47,10
Donta Hall,ORL,23,82,230,13,179,5,10,9,2,12,2
Donte DiVincenzo,MIL,24,76,203,66,1815,72,15,143,3,49,17
Dorian Finney-Smith,DAL,28,79,220,60,1921,52,25,101,1,57,8
Doug McDermott,IND,29,79,225,66,1619,20,6,29,2,54,5
Draymond Green,GSW,31,78,230,63,1982,105,52,181,17,100,30
Drew Eubanks,SAS,24,81,245,54,755,18,49,43,0,56,6
Duncan Robinson,MIA,27,79,215,72,2262,43,20,84,13,90,17
Dwayne Bacon,ORL,25,78,221,72,1853,45,5,70,0,44,5
Dwight Howard,PHI,35,82,265,69,1196,30,62,75,0,82,2
Dwight Powell,DAL,29,82,240,58,966,36,30,63,0,72,14
Dylan Windler,CLE,24,78,196,31,513,19,12,38,0,20,2
E'Twaun Moore,PHX,32,75,191,27,389,15,5,24,0,12,1
Ed Davis,MIN,32,81,218,23,299,13,13,18,0,36,2
Edmond Sumner,IND,25,76,196,53,861,33,10,66,0,40,4
Elfrid Payton,NYK,27,75,195,63,1484,47,9,104,0,44,5
Elijah Bryant,MIL,26,77,210,1,32,0,1,0,0,2,0
Elijah Hughes,UTA,23,77,215,18,64,1,1,2,1,1,1
Enes Kanter,POR,29,82,250,72,1757,33,48,50,0,113,2
Eric Bledsoe,NOP,31,73,214,71,2112,55,24,102,11,58,26
Eric Gordon,HOU,32,75,215,27,789,14,13,32,0,23,0
Eric Paschall,GSW,24,78,255,40,695,12,7,26,0,33,3
Ersan Ilyasova,UTA,34,81,235,17,148,10,3,15,2,16,3
Evan Fournier,BOS,28,79,205,42,1259,47,19,83,0,51,7
Facundo Campazzo,DEN,30,70,195,65,1425,79,14,176,7,43,27
Frank Jackson,DET,23,75,205,40,738,15,1,20,0,27,8
Frank Kaminsky,PHX,28,84,240,47,715,14,17,35,1,43,7
Frank Mason III,ORL,27,71,190,4,79,0,0,1,0,3,0
Frank Ntilikina,NYK,22,76,200,33,322,18,4,32,2,18,4
Fred VanVleet,TOR,27,73,197,52,1899,87,37,199,1,42,14
Freddie Gillespie,TOR,24,81,245,20,392,13,20,26,2,24,2
Furkan Korkmaz,PHI,23,79,202,55,1062,49,9,61,3,35,9
Gabe Vincent,MIA,25,75,200,50,655,21,2,58,12,33,17
Gabriel Deck,OKC,26,78,231,10,212,8,0,8,1,2,1
Garrett Temple,CHI,35,77,195,56,1528,43,30,113,4,62,15
Garrison Mathews,WAS,24,77,215,64,1038,29,7,54,13,54,43
Gary Clark,PHI,26,78,225,39,654,13,7,33,1,26,4
Gary Harris,ORL,26,76,210,39,1080,28,11,90,2,40,5
Gary Payton II,GSW,28,75,195,10,40,6,1,9,0,4,0
Gary Trent Jr.,TOR,22,77,209,58,1802,56,10,119,0,42,9
George Hill,PHI,35,76,188,30,672,23,5,40,2,12,8
Georges Niang,UTA,28,79,230,72,1154,25,8,44,0,49,3
Giannis Antetokounmpo,MIL,26,83,242,61,2013,72,73,124,2,53,5
Glenn Robinson III,SAC,27,78,222,23,369,4,3,16,0,12,1
Goga Bitadze,IND,21,83,250,45,561,9,60,27,0,58,0
Goran Dragic,MIA,35,75,190,50,1336,33,8,71,5,45,9
Gordon Hayward,CHA,31,79,225,44,1496,52,14,86,1,32,3
Gorgui Dieng,SAS,31,82,252,38,553,26,16,57,3,32,3
Grant Riller,CHA,24,74,190,7,27,1,0,1,0,0,1
Grant Williams,BOS,22,78,236,63,1138,32,24,51,5,62,14
Grayson Allen,MEM,25,76,198,50,1259,46,8,52,3,37,11
Greg Whittington,DEN,28,80,210,4,12,0,0,0,0,0,0
Hamidou Diallo,DET,22,77,202,52,1226,41,24,78,2,57,7
Harrison Barnes,SAC,29,80,225,58,2102,43,11,82,2,36,11
Harry Giles III,POR,23,83,240,38,348,8,13,17,0,33,2
Hassan Whiteside,SAC,32,84,265,36,546,9,46,15,1,38,3
Henry Ellenson,TOR,24,82,240,2,38,0,0,0,1,6,1
Ignas Brazdeikis,ORL,22,78,221,13,249,4,3,10,0,13,1
Iman Shumpert,BKN,31,77,212,2,11,1,0,1,0,0,0
Immanuel Quickley,NYK,22,75,190,64,1243,30,12,62,1,42,4
Isaac Bonga,WAS,21,80,180,40,432,11,9,27,2,29,9
Isaac Okoro,CLE,20,77,225,67,2173,62,24,110,6,96,14
Isaiah Hartenstein,CLE,23,84,250,46,559,19,39,34,2,47,7
Isaiah Joe,PHI,21,76,165,41,383,12,4,19,3,14,15
Isaiah Roby,OKC,23,80,230,61,1425,52,37,118,3,89,8
Isaiah Stewart,DET,20,80,250,68,1455,39,86,60,1,84,7
Isaiah Thomas,NOP,32,69,185,3,48,1,0,1,0,1,2
Ish Smith,WAS,32,72,175,44,924,32,13,51,11,33,20
Ivica Zubac,LAC,24,84,240,72,1608,24,62,34,0,119,5
JJ Redick,DAL,37,75,200,44,723,11,3,14,8,29,14
Ja Morant,MEM,21,75,174,63,2053,57,13,81,2,41,12
JaKarr Sampson,IND,28,79,214,29,316,2,14,10,1,27,3
JaMychal Green,DEN,31,80,227,58,1120,26,22,45,1,82,1
JaVale McGee,DEN,33,84,270,46,678,19,54,59,1,59,2
Jabari Parker,BOS,26,80,245,13,165,1,5,6,2,6,2
Jaden McDaniels,MIN,20,81,185,63,1511,35,60,77,0,102,6
Jae Crowder,PHX,30,78,235,60,1648,48,27,89,8,64,18
Jae'Sean Tate,HOU,25,76,230,70,2043,85,36,151,14,103,32
Jahlil Okafor,DET,25,82,270,27,347,6,5,10,2,29,3
Jahmi'us Ramsey,SAC,20,75,190,13,94,4,1,5,0,3,0
Jake Layman,MIN,27,80,209,45,627,29,19,41,2,22,5
Jakob Poeltl,SAS,25,85,245,69,1845,47,123,89,3,113,4
Jalen Brunson,DAL,24,73,190,68,1697,35,1,71,11,37,34
Jalen Harris,TOR,22,77,195,13,172,8,0,10,0,11,0
Jalen Lecque,IND,21,76,185,4,12,0,0,1,0,0,0
Jalen McDaniels,CHA,23,81,205,47,904,28,19,61,3,44,6
Jalen Smith,PHX,21,82,215,27,156,1,4,3,0,10,0
Jamal Murray,DEN,24,75,215,48,1704,64,13,109,4,42,19
James Ennis III,ORL,30,78,215,41,986,32,7,72,4,40,12
James Harden,BKN,31,77,220,44,1609,53,33,110,1,50,5
James Johnson,NOP,34,79,240,51,1043,42,42,70,0,70,3
James Nunnally,NOP,30,79,205,9,48,0,0,1,0,1,0
James Wiseman,GSW,20,84,240,39,836,11,36,9,1,84,4
Jared Dudley,LAL,35,78,237,12,81,1,1,9,0,3,0
Jared Harper,NYK,23,70,175,8,16,0,0,0,0,1,0
Jaren Jackson Jr.,MEM,21,83,242,11,258,12,18,25,0,28,3
Jarred Vanderbilt,MIN,22,81,214,64,1139,64,46,108,2,57,11
Jarrell Brantley,UTA,25,77,250,28,138,7,2,10,0,14,0
Jarrett Allen,CLE,23,83,243,63,1864,32,90,83,1,62,12
Jarrett Culver,MIN,22,78,195,34,499,17,9,43,1,35,5
Javonte Green,CHI,27,76,205,41,474,28,6,58,0,20,3
Jaxson Hayes,NOP,21,83,220,60,964,25,38,53,0,57,5
Jay Scrubb,LAC,20,77,220,4,84,4,0,4,2,2,2
Jaylen Adams,MIL,25,72,225,7,18,0,0,0,0,1,0
Jaylen Brown,BOS,24,78,223,58,1999,72,32,123,0,58,7
Jaylen Hoard,OKC,22,80,216,19,320,13,5,17,0,12,1
Jaylen Nowell,MIN,21,76,201,42,759,22,12,39,0,42,5
Jayson Tatum,BOS,23,80,210,64,2290,75,31,140,0,42,4
Jeff Green,BKN,34,80,235,68,1835,36,27,77,5,77,21
Jeff Teague,MIL,33,75,195,55,950,34,12,66,0,28,2
Jerami Grant,DET,27,80,210,54,1829,35,58,66,6,58,22
Jeremiah Martin,CLE,25,74,185,9,75,5,2,12,0,0,1
Jeremy Lamb,IND,29,77,180,36,765,34,23,53,2,38,9
Jerome Robinson,WAS,24,76,190,17,305,12,6,21,1,19,9
Jevon Carter,PHX,25,73,200,60,717,29,9,70,0,30,3
Jimmy Butler,MIA,31,79,230,52,1745,108,18,182,6,30,11
Joe Harris,BKN,29,78,220,69,2142,46,14,82,3,67,15
Joe Ingles,UTA,33,80,220,67,1867,45,12,83,1,25,9
Joel Embiid,PHI,27,84,280,51,1585,50,69,82,4,65,5
John Collins,ATL,23,81,235,63,1848,34,63,80,11,102,13
John Konchar,MEM,25,77,210,43,575,30,9,55,1,25,2
John Wall,HOU,30,75,210,40,1288,42,31,84,1,27,8
Jonas Valanciunas,MEM,29,83,265,62,1755,35,57,58,1,107,6
Jontay Porter,MEM,21,83,240,11,54,3,1,4,0,7,0
Jordan Bell,GSW,26,80,216,6,82,3,5,7,1,6,1
Jordan Bone,ORL,23,74,180,14,196,2,0,9,0,2,2
Jordan Clarkson,UTA,29,76,194,68,1818,61,10,86,1,37,4
Jordan McLaughlin,MIN,25,71,185,51,938,51,6,103,2,23,13
Jordan Nwora,MIL,22,80,225,30,274,17,8,19,1,11,1
Jordan Poole,GSW,22,76,194,51,988,26,9,43,3,41,6
Josh Green,DAL,20,77,200,39,445,16,3,35,1,15,5
Josh Hall,OKC,20,81,190,21,336,4,1,7,0,26,0
Josh Hart,NOP,26,77,215,47,1350,38,12,63,3,49,7
Josh Jackson,DET,24,80,207,62,1560,53,47,82,6,76,20
Josh Okogie,MIN,22,76,213,59,1197,54,28,106,4,59,28
Josh Richardson,DAL,27,77,200,59,1790,61,24,120,1,64,15
Jrue Holiday,MIL,31,75,205,59,1907,96,37,186,2,38,10
Juan Toscano-Anderson,GSW,28,78,209,53,1107,41,26,92,3,54,11
Juancho Hernangomez,MIN,25,81,214,52,900,19,7,29,0,20,1
Julius Randle,NYK,26,80,250,71,2667,64,18,94,2,73,7
Justin Holiday,IND,32,78,180,72,2183,74,41,156,2,75,10
Justin Jackson,MIL,26,80,220,34,577,15,2,22,0,14,7
Justin James,SAC,24,79,190,36,310,8,3,15,1,11,2
Justin Patton,HOU,24,83,241,13,247,12,14,20,0,27,0
Justin Robinson,OKC,23,73,195,9,88,3,0,5,2,6,2
Justise Winslow,MEM,25,78,222,26,507,15,12,24,2,21,5
Jusuf Nurkic,POR,26,83,290,37,880,38,39,78,1,56,7
Juwan Morgan,UTA,24,79,232,29,147,4,1,10,0,15,0
KJ Martin,HOU,20,78,215,45,1068,30,41,39,0,55,2
KZ Okpala,MIA,22,80,215,37,447,10,11,39,0,24,2
Karim Mane,ORL,21,75,190,10,88,0,2,0,0,6,0
Karl-Anthony Towns,MIN,25,83,248,50,1689,39,57,67,3,80,14
Kawhi Leonard,LAC,30,79,225,52,1772,81,21,135,1,30,4
Keita Bates-Diop,SAS,25,80,229,30,245,11,5,15,0,6,0
Kelan Martin,IND,25,77,230,35,323,10,10,25,0,12,0
Keldon Johnson,SAS,21,77,220,69,1968,40,24,72,0,74,3
Keljin Blevins,POR,25,76,200,17,75,2,0,3,0,6,0
Kelly Olynyk,HOU,30,83,240,70,1997,79,42,151,16,92,22
Kelly Oubre Jr.,GSW,25,79,203,55,1688,57,42,150,3,60,23
Kemba Walker,OKC,31,72,184,43,1369,48,12,92,22,32,29
Kendrick Nunn,MIA,25,74,190,56,1650,52,14,92,0,66,3
Kenrich Williams,OKC,26,78,210,66,1426,55,17,117,7,71,15
Kent Bazemore,GSW,31,76,195,67,1334,69,33,143,5,75,19
Kentavious Caldwell-Pope,LAL,28,77,204,67,1902,62,26,114,1,52,22
Kevin Durant,BKN,32,82,240,35,1157,25,45,47,2,39,4
Kevin Huerter,ATL,22,79,190,69,2126,82,18,160,1,73,2
Kevin Knox II,NYK,21,79,215,42,464,12,6,13,0,25,2
Kevin Love,CLE,32,80,251,25,622,16,2,23,1,14,1
Kevin Porter Jr.,HOU,21,76,203,26,835,19,8,38,1,22,3
Kevon Looney,GSW,25,81,222,61,1161,21,22,56,2,77,4
Khem Birch,TOR,28,81,233,67,1529,48,50,92,7,66,9
Khris Middleton,MIL,29,79,222,68,2269,74,9,152,1,73,9
Khyri Thomas,HOU,25,75,210,5,153,9,6,10,0,4,2
Killian Hayes,DET,19,77,195,26,670,27,10,81,0,24,5
Killian Tillie,MEM,23,81,220,18,182,5,8,5,0,14,0
Kira Lewis Jr.,NOP,20,73,170,54,904,38,10,62,6,56,12
Kostas Antetokounmpo,LAL,23,82,200,15,56,2,4,4,0,4,1
Kris Dunn,ATL,27,75,205,4,45,2,2,8,0,2,0
Kristaps Porzingis,DAL,25,87,240,43,1327,20,58,42,1,77,5
Kyle Anderson,MEM,27,81,230,69,1887,84,57,161,0,58,4
Kyle Guy,SAC,23,73,167,31,235,6,0,4,1,10,2
Kyle Kuzma,LAL,25,82,221,68,1954,35,41,42,3,66,9
Kyle Lowry,TOR,35,72,196,46,1602,45,14,98,20,50,39
Kyrie Irving,BKN,29,74,195,54,1886,76,37,157,4,62,7
LaMarcus Aldridge,BKN,35,83,250,26,674,11,29,21,0,34,0
LaMelo Ball,CHA,19,78,180,51,1469,81,18,151,0,45,6
Lamar Stevens,CLE,23,78,230,40,499,17,13,29,1,38,2
Landry Shamet,BKN,24,76,190,61,1403,31,10,75,5,49,12
Langston Galloway,PHX,29,73,200,40,438,8,0,14,1,12,1
Larry Nance Jr.,CLE,28,79,245,35,1091,61,17,118,2,34,5
Lauri Markkanen,CHI,24,84,240,51,1317,26,15,36,1,45,6
LeBron James,LAL,36,81,250,45,1504,48,25,88,9,27,11
Lonnie Walker IV,SAS,22,76,204,60,1522,29,15,71,1,61,4
Lonzo Ball,NOP,23,78,190,55,1747,82,31,137,0,41,6
Lou Williams,ATL,34,73,175,66,1423,47,6,79,3,17,10
Louis King,SAC,22,79,205,6,85,7,3,10,0,3,0
Luguentz Dort,OKC,22,75,215,52,1543,45,19,81,5,50,57
Luka Doncic,DAL,22,79,230,66,2262,64,36,112,0,73,7
Luka Samanic,SAS,21,82,227,33,308,8,8,17,0,27,2
Luke Kennard,LAC,25,77,206,63,1232,23,9,42,1,44,2
Luke Kornet,BOS,25,86,250,31,347,4,32,6,0,14,1
Malachi Flynn,TOR,23,73,175,47,928,38,7,66,0,34,3
Malcolm Brogdon,IND,28,77,229,56,1930,49,15,91,0,40,5
Malik Beasley,MIN,24,76,187,37,1214,30,7,56,0,30,3
Malik Fitts,LAC,23,80,230,3,11,0,0,0,0,3,0
Malik Monk,CHA,23,75,200,42,878,19,4,33,0,24,3
Mamadi Diakite,MIL,24,81,228,14,141,6,5,10,2,10,2
Marc Gasol,LAL,36,83,255,52,993,26,58,78,5,61,7
Marcus Morris Sr.,LAC,31,80,218,57,1502,34,15,58,0,67,9
Marcus Smart,BOS,27,75,220,48,1581,72,23,156,14,56,31
Markelle Fultz,ORL,23,75,209,8,215,8,2,16,0,10,1
Markieff Morris,LAL,31,81,245,61,1200,22,19,61,5,48,10
Markus Howard,DEN,22,70,175,37,205,4,1,9,1,8,1
Marques Bolden,CLE,23,82,249,6,29,2,2,2,0,0,0
Marquese Chriss,GSW,23,81,240,2,27,0,2,0,0,1,0
Marvin Bagley III,SAC,22,83,235,43,1112,21,21,40,10,57,18
Mason Jones,PHI,22,76,200,32,334,7,1,11,0,13,0
Mason Plumlee,DET,31,83,254,56,1499,43,50,98,5,101,5
Matisse Thybulle,PHI,24,77,201,65,1298,105,71,202,1,60,9
Matt Thomas,UTA,26,76,190,45,327,4,0,9,0,14,0
Matthew Dellavedova,CLE,30,75,200,13,224,4,1,10,0,7,1
Maurice Harkless,SAC,28,79,220,37,772,30,20,77,0,50,2
Max Strus,MIA,25,77,215,39,507,11,2,23,4,22,8
Maxi Kleber,DAL,29,82,240,50,1341,24,35,45,3,53,9
Meyers Leonard,MIA,29,84,260,3,29,0,0,1,0,5,0
Mfiondu Kabengele,CLE,23,81,250,39,280,8,13,7,0,25,1
Michael Carter-Williams,ORL,29,77,190,31,800,25,17,46,8,30,28
Michael Porter Jr.,DEN,23,82,218,61,1912,40,54,74,0,73,2
Mikal Bridges,PHX,24,78,209,72,2348,76,63,154,0,60,14
Mike Conley,UTA,33,73,175,51,1498,70,9,115,2,29,22
Mike James,BKN,30,73,175,13,236,6,1,12,0,7,1
Mike Muscala,OKC,29,82,240,35,645,8,11,19,1,37,3
Mike Scott,PHI,32,79,237,51,852,24,14,31,0,37,5
Miles Bridges,CHA,23,78,225,66,1932,44,52,89,1,72,8
Mitchell Robinson,NYK,23,84,240,31,853,35,45,61,0,52,2
Miye Oni,UTA,23,77,206,54,519,11,8,25,0,24,2
Mo Bamba,ORL,23,84,231,46,725,14,58,37,1,57,3
Monte Morris,DEN,26,74,183,47,1196,34,13,46,1,25,2
Montrezl Harrell,LAL,27,79,240,69,1580,46,49,75,22,72,28
Moritz Wagner,ORL,24,83,245,45,722,26,18,56,14,53,20
Moses Brown,BOS,21,86,245,43,920,31,47,56,2,55,2
Mychal Mulder,GSW,27,75,184,60,766,12,12,22,0,30,6
Myles Turner,IND,25,83,250,47,1455,40,159,104,0,103,3
Naji Marshall,NOP,23,79,220,32,700,26,10,43,1,37,3
Nassir Little,POR,21,77,220,48,640,5,13,16,0,31,2
Nate Darling,CHA,22,78,200,7,26,0,1,0,1,0,1
Nate Hinton,DAL,22,77,210,21,93,7,2,8,1,6,1
Nathan Knight,ATL,23,82,253,33,279,9,10,17,0,12,1
Naz Reid,MIN,21,81,264,70,1347,34,76,76,7,116,15
Nemanja Bjelica,MIA,33,82,234,37,595,15,5,31,0,25,0
Nerlens Noel,NYK,27,83,220,64,1547,70,141,179,4,84,12
Nick Richards,CHA,23,84,245,18,63,0,0,2,0,2,1
