Player,Team,Age,Height,Weight,GP,MIN,STL,BLK,Deflections,ChargesDrawn,Fouls Committed Shoot,Fouls Drawn Off.
Aaron Gordon,ORL,23,81,220,78,2633,57,56,101,1,67,10
Aaron Holiday,IND,22,73,185,50,646,21,13,33,0,31,14
Abdel Nader,OKC,25,78,225,61,694,20,12,31,1,41,1
Al Horford,BOS,33,82,245,68,1973,59,86,94,0,77,6
Al-Farouq Aminu,POR,28,81,220,81,2292,68,33,155,2,58,15
Alan Williams,BKN,26,80,265,5,26,1,0,1,0,1,0
Alec Burks,SAC,27,78,214,64,1375,39,21,75,0,41,12
Alex Abrines,OKC,25,78,200,31,588,17,6,29,2,33,10
Alex Caruso,LAL,25,77,186,25,531,24,9,47,4,33,10
Alex Len,ATL,26,85,250,77,1544,27,69,40,0,108,0
Alex Poythress,ATL,25,81,235,21,305,4,10,15,0,23,4
Alfonzo McKinnie,GSW,26,80,215,72,1003,18,15,44,3,66,6
Alize Johnson,IND,23,81,212,14,64,1,3,3,0,3,0
Allen Crabbe,BKN,27,78,212,43,1133,23,13,44,0,41,5
Allonzo Trier,NYK,23,77,200,64,1459,28,14,48,3,46,16
Amile Jefferson,ORL,26,81,222,12,68,3,3,3,0,3,0
Amir Johnson,PHI,32,81,240,51,529,16,13,35,2,54,3
Andre Drummond,DET,25,83,279,79,2647,136,138,225,1,116,13
Andre Iguodala,GSW,35,78,215,68,1578,61,51,114,2,48,10
Andre Ingram,LAL,33,75,190,4,15,1,0,1,0,0,0
Andrew Bogut,GSW,34,84,260,11,134,3,8,4,3,11,3
Andrew Harrison,NOP,24,78,213,17,186,4,2,16,3,16,5
Andrew Wiggins,MIN,24,80,194,73,2543,70,48,121,0,93,11
Anfernee Simons,POR,20,76,185,20,141,1,0,4,0,1,0
Angel Delgado,LAC,24,82,245,2,15,1,0,1,0,1,0
Ante Zizic,CLE,22,83,254,59,1082,13,22,17,0,61,2
Anthony Davis,NOP,26,82,253,56,1850,88,135,149,6,84,14
Anthony Tolliver,MIN,34,80,250,65,1079,17,21,28,14,40,16
Antonio Blakeney,CHI,22,76,192,57,829,12,9,19,0,21,1
Aron Baynes,BOS,32,82,260,51,821,12,34,22,18,71,20
Austin Rivers,HOU,26,76,200,76,2028,47,23,94,5,96,26
Avery Bradley,MEM,28,74,180,63,1905,41,16,102,4,71,27
B.J. Johnson,SAC,23,79,200,7,49,2,0,2,0,2,0
Bam Adebayo,MIA,21,82,255,82,1913,71,65,117,0,91,8
Ben McLemore,SAC,26,77,201,19,158,6,3,6,1,10,2
Ben Simmons,PHI,22,82,230,79,2700,112,61,215,0,83,4
Billy Garrett,NYK,24,78,215,4,63,1,1,6,1,3,1
Bismack Biyombo,CHA,26,81,255,54,782,11,41,14,1,53,3
Blake Griffin,DET,30,82,250,75,2622,52,28,102,30,70,48
Boban Marjanovic,PHI,30,87,290,58,681,16,27,17,0,46,0
Bobby Portis,WAS,24,83,250,50,1298,35,20,66,1,57,0
Bogdan Bogdanovic,SAC,26,78,205,70,1947,72,15,159,1,65,17
Bojan Bogdanovic,IND,30,80,216,81,2573,69,1,94,3,59,9
