Player,Team,Age,Height,Weight,GP,MIN,STL,BLK,Deflections,ChargesDrawn,Fouls Committed Shoot,Fouls Drawn Off.
Bonzie Colson,MIL,23,78,225,8,98,5,1,7,0,2,0
Brad Wanamaker,BOS,29,76,210,36,343,12,2,40,0,14,1
Bradley Beal,WAS,26,77,207,82,3028,121,58,202,12,103,27
Brandon Goodwin,DEN,23,74,180,16,57,0,0,0,1,4,2
Brandon Ingram,LAL,21,81,190,52,1760,28,31,49,2,54,14
Brandon Knight,CLE,27,75,195,39,737,21,2,37,2,20,14
Brandon Sampson,CHI,22,77,184,14,214,8,3,8,0,11,2
Brook Lopez,MIL,31,84,270,81,2322,51,179,82,0,111,2
Bruce Brown,DET,22,77,202,74,1449,40,36,87,0,87,11
Bruno Caboclo,MEM,23,81,218,34,800,14,33,49,0,43,2
Bryn Forbes,SAS,25,75,190,82,2293,45,4,74,0,78,10
Buddy Hield,SAC,26,76,214,82,2615,58,33,119,0,86,15
C.J. Williams,MIN,29,77,226,15,128,6,0,10,0,7,0
CJ McCollum,POR,27,75,190,70,2375,55,28,80,0,81,10
CJ Miles,MEM,32,78,220,53,857,26,15,46,4,38,4
Caleb Swanigan,SAC,22,81,250,21,178,6,1,8,3,16,3
Cameron Payne,CLE,24,75,190,40,712,28,9,69,3,25,11
Cameron Reynolds,MIN,24,80,225,19,259,6,2,14,0,14,0
Caris LeVert,BKN,24,79,204,40,1063,42,14,82,4,36,14
Carmelo Anthony,HOU,35,80,240,10,294,4,7,11,0,11,5
Cedi Osman,CLE,24,80,215,76,2444,60,11,99,7,87,17
Chandler Hutchison,CHI,23,79,197,44,895,23,6,47,8,32,13
Chandler Parsons,MEM,30,82,230,25,496,19,5,19,1,19,3
Channing Frye,CLE,36,84,255,36,341,6,5,10,0,27,2
Chasson Randle,WAS,26,74,185,49,743,25,3,47,1,41,9
Cheick Diallo,NOP,22,81,220,64,896,29,33,35,1,64,4
Chimezie Metu,SAS,22,82,225,29,145,6,2,12,0,2,0
Chris Boucher,TOR,26,82,200,28,163,6,24,11,0,24,0
Chris Chiozza,HOU,23,72,175,7,33,1,1,2,0,1,0
Chris Paul,HOU,34,72,175,58,1857,114,18,192,4,50,7
Christian Wood,NOP,23,82,214,21,250,7,10,11,0,12,1
Clint Capela,HOU,25,82,240,67,2249,44,102,71,4,66,9
Cody Zeller,CHA,26,84,240,49,1243,38,41,75,4,79,8
Collin Sexton,CLE,20,74,190,82,2605,44,6,87,1,75,37
Corey Brewer,SAC,33,81,186,31,492,32,7,69,4,28,9
Cory Joseph,IND,27,75,193,82,2063,94,22,122,1,65,24
Courtney Lee,DAL,33,77,215,34,428,21,3,33,3,12,6
Cristiano Felicio,CHI,26,82,265,60,746,11,7,13,0,35,2
D'Angelo Russell,BKN,23,77,198,81,2448,100,20,177,0,54,11
D.J. Augustin,ORL,31,72,183,81,2269,52,4,61,6,38,36
D.J. Wilson,MIL,23,82,231,48,882,18,20,29,3,56,4
DJ Stephens,MEM,28,77,188,1,7,1,0,1,0,0,0
Dairis Bertans,NOP,29,76,200,12,167,1,0,4,1,5,1
Damian Jones,GSW,24,84,245,24,410,12,25,9,0,31,4
Damian Lillard,POR,28,75,195,80,2838,88,34,171,6,60,33
Damion Lee,GSW,26,78,210,32,375,13,0,22,1,16,4
Damyean Dotson,NYK,25,78,210,73,2004,58,10,92,3,65,9
Daniel Hamilton,ATL,23,79,195,19,204,6,1,12,0,10,1
Daniel Theis,BOS,27,80,243,66,908,21,42,39,2,104,5
Danilo Gallinari,LAC,30,82,225,68,2059,49,23,94,12,55,21
Danny Green,TOR,32,78,215,80,2215,73,53,132,7,82,17
Dante Cunningham,SAS,32,80,230,64,928,27,13,39,1,46,5
Dante Exum,UTA,23,78,190,42,664,14,5,22,2,23,13
Danuel House Jr.,HOU,26,79,220,39,979,21,11,37,1,52,2
Dario Saric,MIN,25,82,223,81,2022,45,9,90,2,94,7
Darius Miller,NOP,29,80,225,69,1758,40,23,87,2,68,11
Darren Collison,IND,31,72,175,76,2143,110,9,158,3,49,11
Daryl Macon,DAL,23,75,185,8,90,1,0,0,0,5,0
David Nwaba,CLE,26,76,219,51,984,36,17,84,1,43,7
Davis Bertans,SAS,26,82,225,76,1632,35,33,64,1,72,16
Davon Reed,IND,24,77,208,10,47,1,0,2,0,3,0
De'Aaron Fox,SAC,21,75,175,81,2546,133,45,206,0,79,45
De'Anthony Melton,PHX,21,76,200,50,984,68,23,131,0,60,10
DeAndre Jordan,NYK,30,83,265,69,2047,42,73,72,2,86,4
DeAndre' Bembry,ATL,24,78,210,82,1931,105,41,201,1,86,21
DeMar DeRozan,SAS,29,79,220,77,2688,86,36,151,0,79,16
DeMarcus Cousins,GSW,28,83,270,30,771,40,44,75,11,49,17
DeMarre Carroll,BKN,32,80,215,67,1703,31,10,72,4,49,10
DeVaughn Akoon-Purcell,DEN,26,78,200,7,22,2,0,1,0,1,0
Deandre Ayton,PHX,20,85,250,71,2183,61,67,89,0,135,2
Delon Wright,MEM,27,77,183,75,1698,88,30,164,1,40,16
Demetrius Jackson,PHI,24,73,201,6,39,2,0,1,0,2,0
Deng Adel,CLE,22,79,200,19,194,1,4,9,4,9,4
Dennis Schroder,OKC,25,73,172,79,2314,65,12,113,14,75,39
Dennis Smith Jr.,NYK,21,75,195,53,1508,67,20,127,0,65,5
Deonte Burton,OKC,25,77,245,32,240,6,8,10,0,19,5
Derrick Favors,UTA,27,82,265,76,1766,56,106,81,0,94,3
Derrick Jones Jr.,MIA,22,79,200,60,1154,46,42,85,1,60,8
Derrick Rose,MIN,30,75,200,51,1392,31,12,56,1,30,15
Derrick White,SAS,24,76,190,67,1728,67,47,132,9,70,28
Devin Booker,PHX,22,78,210,64,2242,56,13,81,5,70,19
Devin Harris,DAL,36,75,185,68,1071,35,16,69,15,52,24
Devin Robinson,WAS,24,80,200,7,95,4,6,7,1,7,4
Devonte' Graham,CHA,24,74,185,46,676,23,2,47,3,18,7
Dewayne Dedmon,ATL,29,84,245,64,1609,69,71,138,4,114,3
Deyonta Davis,ATL,22,83,237,9,118,3,5,9,0,7,0
Dillon Brooks,MEM,23,78,220,18,330,10,4,20,0,18,5
Dion Waiters,MIA,27,76,215,44,1138,29,9,43,0,26,1
Dirk Nowitzki,DAL,41,84,245,51,795,9,18,22,0,48,1
Domantas Sabonis,IND,23,83,240,74,1838,48,30,75,0,104,4
Donatas Motiejunas,SAS,28,84,220,3,13,0,1,1,0,4,0
Donovan Mitchell,UTA,22,75,215,77,2598,106,31,178,0,79,11
Donte DiVincenzo,MIL,22,76,203,27,411,13,6,22,0,19,5
Donte Grantham,OKC,24,80,215,3,2,0,0,0,0,0,0
Dorian Finney-Smith,DAL,26,80,220,81,1985,69,36,116,3,86,11
Doug McDermott,IND,27,80,225,77,1340,18,8,19,0,48,4
Dragan Bender,PHX,21,85,225,46,826,18,22,26,0,65,2
Draymond Green,GSW,29,79,230,66,2065,95,70,212,11,93,22
Drew Eubanks,SAS,22,82,245,23,113,2,5,3,0,8,1
Duncan Robinson,MIA,25,80,210,15,161,5,0,10,0,4,1
Dusty Hannahs,MEM,25,76,195,2,26,1,0,0,0,0,0
Dwayne Bacon,CHA,23,79,221,43,759,12,5,18,0,33,2
Dwight Howard,WAS,33,83,265,9,230,7,4,11,0,14,0
Dwight Powell,DAL,27,83,240,77,1663,44,50,88,3,87,13
Dwyane Wade,MIA,37,76,220,72,1885,59,38,117,0,62,3
Dzanan Musa,BKN,20,81,208,9,39,2,0,2,0,0,0
E'Twaun Moore,NOP,30,76,191,53,1463,40,8,66,0,41,2
Ed Davis,BKN,30,82,225,81,1446,35,33,50,0,120,5
Edmond Sumner,IND,23,78,176,23,210,12,5,20,1,17,1
Ekpe Udoh,UTA,32,82,245,51,320,10,31,19,0,26,2
Elfrid Payton,NOP,25,76,185,42,1250,44,17,86,0,27,7
Elie Okobo,PHX,21,75,190,53,958,32,7,53,0,44,2
Emanuel Terry,MIA,22,81,220,3,23,3,0,4,0,3,0
Emmanuel Mudiay,NYK,23,77,200,59,1607,43,19,86,6,53,7
Enes Kanter,POR,27,83,250,67,1639,32,26,53,0,97,4
Eric Bledsoe,MIL,29,73,205,78,2272,116,29,197,3,46,15
Eric Gordon,HOU,30,76,215,68,2158,41,27,94,2,75,3
Eric Moreland,TOR,27,82,238,5,43,1,1,0,0,7,0
Ersan Ilyasova,MIL,32,82,235,67,1231,32,20,82,49,84,60
Evan Fournier,ORL,26,79,205,81,2553,71,12,114,1,93,17
Evan Turner,POR,30,79,220,73,1606,33,18,52,0,61,10
Frank Jackson,NOP,21,75,205,61,1169,25,2,27,0,43,6
Frank Kaminsky,CHA,26,84,242,47,755,12,12,28,2,34,6
Frank Mason III,SAC,25,71,190,38,435,16,4,23,0,13,1
Frank Ntilikina,NYK,20,78,200,43,904,30,14,49,3,48,11
Fred VanVleet,TOR,25,72,195,64,1760,57,20,138,0,51,10
Furkan Korkmaz,PHI,21,79,190,48,679,29,2,43,2,29,7
Garrett Temple,LAC,33,78,195,75,2041,76,30,149,2,73,13
Gary Clark,HOU,24,80,225,51,641,20,26,37,0,31,7
Gary Harris,DEN,24,76,210,57,1639,55,19,114,3,40,6
Gary Payton II,WAS,26,75,190,3,16,3,1,3,0,0,0
Gary Trent Jr.,POR,20,78,205,15,111,1,2,7,1,1,1
George Hill,MIL,33,75,188,60,1302,52,8,81,0,37,10
George King,PHX,25,78,220,1,6,0,0,0,0,0,0
Georges Niang,UTA,26,80,230,59,516,10,6,18,0,27,0
Gerald Green,HOU,33,79,205,73,1473,33,27,53,0,70,4
Giannis Antetokounmpo,MIL,24,83,242,72,2358,92,110,152,1,67,6
Glenn Robinson III,DET,25,78,222,47,610,14,8,28,0,23,4
Goran Dragic,MIA,33,75,190,36,991,30,5,48,1,29,7
Gordon Hayward,BOS,29,80,225,72,1863,62,23,72,0,37,9
Gorgui Dieng,MIN,29,83,252,76,1031,48,41,87,6,59,11
Grayson Allen,UTA,23,77,198,38,416,6,6,9,0,25,4
Greg Monroe,PHI,29,83,265,43,480,14,8,27,2,39,2
Guerschon Yabusele,BOS,23,80,260,41,251,8,7,8,0,18,0
Hamidou Diallo,OKC,20,77,198,51,526,21,10,25,1,39,9
Harrison Barnes,SAC,27,80,225,77,2533,50,13,98,1,54,12
Harry Giles III,SAC,21,82,240,58,820,31,22,51,0,72,5
Hassan Whiteside,MIA,30,84,265,72,1674,46,136,75,0,99,5
Haywood Highsmith,PHI,22,79,220,5,40,1,0,1,0,0,0
Henry Ellenson,NYK,22,83,245,19,259,7,2,6,0,16,2
Ian Clark,NOP,28,75,175,60,973,22,8,37,0,38,5
Ian Mahinmi,WAS,32,83,262,34,498,25,16,49,4,33,8
Ike Anigbogu,IND,20,82,250,3,6,0,1,0,0,0,0
Iman Shumpert,HOU,29,77,215,62,1481,59,24,116,0,65,28
Isaac Bonga,LAL,19,80,180,22,120,9,4,11,0,8,1
Isaac Humphries,ATL,21,84,260,5,56,1,0,6,0,5,0
Isaiah Briscoe,ORL,23,75,215,39,559,11,2,25,7,30,17
Isaiah Canaan,MIL,28,72,200,30,628,14,2,23,2,23,10
Isaiah Hartenstein,HOU,21,84,249,28,221,7,12,11,0,22,1
Isaiah Hicks,NYK,24,81,230,3,32,1,3,1,0,3,1
Isaiah Thomas,DEN,30,69,185,12,181,5,1,10,0,6,1
Ish Smith,DET,30,72,175,56,1251,28,11,46,2,53,8
Ivan Rabb,MEM,22,82,220,49,721,17,14,30,0,48,3
Ivica Zubac,LAC,22,85,240,59,1039,14,51,27,1,83,4
J.J. Barea,DAL,35,72,185,38,752,22,1,26,2,9,21
J.P. Macura,CHA,24,77,205,2,17,0,0,2,1,0,1
JJ Redick,PHI,35,76,200,76,2379,32,17,50,10,65,16
JR Smith,CLE,33,78,225,11,222,11,3,14,0,7,1
JaKarr Sampson,CHI,26,81,215,4,127,4,3,7,0,5,0
JaMychal Green,LAC,29,81,227,65,1371,45,34,78,4,91,8
JaVale McGee,LAL,31,84,270,75,1671,47,148,83,1,98,3
Jabari Parker,WAS,24,80,245,64,1724,46,30,66,0,69,5
Jacob Evans,GSW,22,78,210,30,204,5,3,11,0,18,0
Jae Crowder,UTA,28,78,235,80,2166,64,31,93,6,75,18
Jahlil Okafor,NOP,23,83,275,59,935,15,40,19,0,65,3
Jake Layman,POR,25,81,215,71,1327,31,30,62,6,60,10
Jakob Poeltl,SAS,23,84,230,77,1273,29,68,54,5,80,8
Jalen Brunson,DAL,22,75,190,73,1591,37,4,63,12,53,40
Jalen Jones,CLE,26,79,220,16,214,9,2,9,1,13,1
Jamal Crawford,PHX,39,77,185,64,1211,33,12,37,0,25,6
Jamal Murray,DEN,22,76,207,75,2447,67,27,123,4,70,22
James Ennis III,PHI,28,79,210,58,1230,41,23,88,2,56,9
James Harden,HOU,29,77,220,78,2867,158,58,277,6,76,22
James Johnson,MIA,32,80,240,55,1164,35,27,88,2,53,3
James Nunnally,HOU,28,79,208,15,101,1,0,4,1,2,1
Jared Dudley,BKN,33,79,237,59,1220,36,16,51,7,52,19
Jared Terrell,MIN,24,75,227,14,111,3,2,3,0,7,0
Jarell Martin,ORL,25,82,239,42,328,3,8,18,1,32,2
Jaren Jackson Jr.,MEM,19,83,242,58,1515,52,82,78,0,108,2
Jaron Blossomgame,CLE,25,80,220,27,439,7,8,15,1,10,4
Jarred Vanderbilt,DEN,20,81,214,17,69,6,1,7,0,4,0
Jarrett Allen,BKN,21,83,237,80,2096,43,120,78,0,112,11
Jason Smith,NOP,33,84,240,20,191,3,7,7,2,17,2
Jawun Evans,OKC,22,72,190,8,64,3,0,9,0,3,0
Jaylen Adams,ATL,23,74,190,34,428,14,5,21,0,24,3
Jaylen Brown,BOS,22,79,220,74,1913,69,32,122,3,76,9
Jaylen Morris,MIL,23,77,185,4,29,2,0,1,0,1,0
Jayson Tatum,BOS,21,80,208,79,2455,84,57,154,0,79,3
Jeff Green,WAS,32,81,235,77,2097,43,39,69,12,89,25
Jeff Teague,MIN,31,74,195,42,1264,43,18,93,9,55,14
Jemerrio Jones,LAL,24,77,174,6,143,7,5,10,1,5,1
Jerami Grant,OKC,25,81,220,80,2612,61,100,89,12,110,38
Jeremy Lamb,CHA,27,77,185,79,2250,88,32,160,1,72,22
Jeremy Lin,TOR,30,75,200,74,1436,47,13,74,16,82,40
Jerian Grant,ORL,26,76,205,60,939,44,6,78,2,27,10
Jerome Robinson,LAC,22,77,190,33,321,11,3,22,2,18,4
Jerryd Bayless,MIN,30,75,200,34,657,18,2,32,1,26,1
Jevon Carter,MEM,23,74,196,39,577,26,11,49,1,24,1
Jimmer Fredette,PHX,30,74,195,6,65,3,0,3,0,3,0
Jimmy Butler,PHI,29,80,232,65,2185,123,39,198,1,47,5
Joakim Noah,MEM,34,83,230,42,692,20,31,40,3,45,3
Jodie Meeks,TOR,31,76,210,8,104,1,1,4,0,3,0
Joe Chealey,CHA,23,75,190,1,8,0,0,0,0,0,0
Joe Harris,BKN,27,78,218,76,2294,38,17,54,2,78,16
Joe Ingles,UTA,31,80,226,82,2568,98,20,212,0,56,16
Joel Embiid,PHI,25,84,250,64,2154,46,122,79,1,107,5
John Collins,ATL,21,82,235,61,1828,22,39,42,0,107,7
John Henson,CLE,28,83,219,14,188,7,11,8,0,12,2
John Holland,CLE,30,77,205,1,1,0,0,0,0,0,0
John Jenkins,NYK,28,76,215,26,333,0,2,8,0,7,1
John Wall,WAS,28,76,210,32,1104,49,29,88,2,41,9
Johnathan Motley,LAC,24,82,230,22,156,5,3,4,0,10,0
Johnathan Williams,LAL,24,81,228,24,372,8,7,21,2,32,3
Jon Leuer,DET,30,82,228,41,402,12,4,16,4,34,5
Jonah Bolden,PHI,23,82,220,44,639,17,39,39,0,57,0
Jonas Jerebko,GSW,32,82,231,73,1218,27,18,38,10,55,11
Jonas Valanciunas,MEM,27,84,265,49,1091,19,53,40,0,78,6
Jonathan Isaac,ORL,21,82,210,75,1996,59,98,139,5,85,14
Jonathon Simmons,PHI,29,78,195,56,1064,29,15,49,4,35,16
Jordan Bell,GSW,24,81,224,68,788,20,51,49,5,54,9
Jordan Clarkson,CLE,27,77,194,81,2214,57,13,97,1,38,10
Jordan Loyd,TOR,25,76,210,12,55,0,0,5,0,3,0
Jordan McRae,WAS,28,77,179,27,333,13,7,20,0,12,4
Jordan Sibert,ATL,26,76,187,1,4,0,0,0,0,0,0
Jose Calderon,DET,37,75,200,49,632,16,3,37,2,26,3
Josh Hart,LAL,24,77,215,67,1715,64,40,101,1,65,17
Josh Jackson,PHX,22,80,200,79,1988,74,56,114,12,88,31
Josh Okogie,MIN,20,76,212,74,1757,88,33,158,13,68,46
Josh Richardson,MIA,25,78,200,73,2539,79,34,185,1,77,25
Jrue Holiday,NOP,29,76,205,67,2402,109,54,211,2,59,10
Juancho Hernangomez,DEN,23,81,230,70,1358,27,24,46,1,51,6
Julian Washburn,MEM,27,80,209,18,254,13,2,14,0,7,1
Julius Randle,NOP,24,81,250,73,2232,52,45,78,2,97,8
Justin Anderson,ATL,25,78,230,48,464,22,13,34,2,23,4
Justin Holiday,MEM,30,78,181,82,2607,121,36,185,1,75,20
Justin Jackson,DAL,24,80,210,81,1613,32,14,31,1,46,15
Justin Patton,PHI,22,84,241,3,21,2,0,2,0,3,0
Justise Winslow,MIA,23,79,225,66,1960,72,19,107,5,68,12
Jusuf Nurkic,POR,24,84,275,72,1974,71,103,131,0,130,9
Kadeem Allen,NYK,26,75,200,19,416,16,4,29,2,24,7
Kalin Lucas,DET,30,73,195,1,6,0,0,0,0,1,0
Karl-Anthony Towns,MIN,23,84,248,77,2545,67,125,121,3,108,13
Kawhi Leonard,TOR,28,79,230,60,2040,106,24,193,0,33,7
Keita Bates-Diop,MIN,23,81,229,30,503,18,14,32,0,17,1
Kelly Olynyk,MIA,28,84,240,79,1812,53,37,118,15,96,25
Kelly Oubre Jr.,PHX,23,79,205,69,1935,84,59,208,6,65,28
Kemba Walker,CHA,29,73,184,82,2863,102,34,156,27,64,62
Kenneth Faried,HOU,29,80,220,37,728,17,23,28,10,28,12
Kenrich Williams,NOP,24,79,210,46,1079,45,19,80,9,47,17
Kent Bazemore,ATL,29,77,201,67,1643,89,42,143,6,79,20
Kentavious Caldwell-Pope,LAL,26,77,205,82,2035,73,13,105,5,50,42
Kevin Durant,GSW,30,81,240,78,2702,58,84,118,3,79,14
Kevin Huerter,ATL,20,79,190,75,2049,65,25,118,0,70,5
Kevin Knox II,NYK,19,81,215,75,2158,43,24,62,0,104,4
Kevin Love,CLE,30,82,251,22,598,6,5,7,9,26,9
Kevon Looney,GSW,23,81,220,80,1481,46,53,57,0,121,5
Khem Birch,ORL,26,81,233,50,643,18,29,33,3,43,8
Khris Middleton,MIL,27,80,222,77,2393,80,7,136,1,62,10
Khyri Thomas,DET,23,75,210,26,195,7,5,12,0,12,0
Klay Thompson,GSW,29,79,215,78,2652,84,47,166,1,73,10
Kobi Simmons,CLE,21,76,170,1,2,0,0,0,0,0,0
Kosta Koufos,SAC,30,84,245,42,502,15,18,32,0,40,1
Kostas Antetokounmpo,DAL,21,82,200,2,11,2,0,1,0,0,0
Kris Dunn,CHI,25,76,205,46,1389,68,21,142,0,70,10
Kyle Anderson,MEM,25,81,230,43,1282,54,37,118,2,37,8
Kyle Korver,UTA,38,79,212,70,1334,25,12,57,5,45,9
Kyle Kuzma,LAL,23,81,220,70,2314,41,26,50,7,72,10
Kyle Lowry,TOR,33,73,196,65,2213,91,31,144,23,60,48
Kyle O'Quinn,IND,29,82,250,45,371,9,25,13,0,42,0
Kyrie Irving,BOS,27,75,193,67,2214,103,34,170,12,64,25
LaMarcus Aldridge,SAS,33,83,260,81,2687,43,107,90,0,102,5
Lance Stephenson,LAL,28,78,230,68,1123,41,7,48,0,45,2
Lance Thomas,NYK,31,80,240,46,783,17,7,30,2,37,9
Landry Shamet,LAC,22,77,188,79,1802,37,10,60,1,80,17
Langston Galloway,DET,27,74,200,80,1745,37,8,63,2,56,11
Larry Nance Jr.,CLE,26,81,230,67,1795,100,40,187,3,89,8
Lauri Markkanen,CHI,22,84,240,52,1682,37,33,56,2,60,10
LeBron James,LAL,34,80,250,55,1937,72,33,98,6,41,9
Lonnie Walker IV,SAS,20,77,205,17,118,7,3,8,0,7,0
Lonzo Ball,LAL,21,78,190,47,1423,69,19,124,0,57,6
Lorenzo Brown,TOR,28,77,189,26,212,12,5,20,0,7,0
Lou Williams,LAC,32,73,175,75,1993,57,11,95,0,32,8
Luc Mbah a Moute,LAC,32,80,230,4,61,1,1,3,0,2,0
Luka Doncic,DAL,20,79,218,72,2318,77,25,145,8,56,16
Luke Kennard,DET,23,77,206,63,1437,26,10,56,0,47,4
Luke Kornet,NYK,23,85,250,46,784,27,42,38,0,31,7
Luol Deng,MIN,34,81,237,22,392,15,8,18,0,13,0
Malachi Richardson,TOR,23,78,205,22,103,1,0,2,1,4,1
Malcolm Brogdon,MIL,26,77,229,64,1832,46,13,64,0,44,6
Malcolm Miller,TOR,26,79,210,10,67,1,1,0,0,3,0
Malik Beasley,DEN,22,77,195,81,1879,55,10,91,4,55,10
Malik Monk,CHA,21,75,200,73,1258,37,19,60,1,64,7
MarShon Brooks,MEM,30,77,200,29,387,9,4,19,2,12,4
Marc Gasol,TOR,34,85,255,79,2436,84,86,131,27,116,38
Marcin Gortat,LAC,35,83,240,47,750,6,24,21,6,42,8
Marco Belinelli,SAS,33,77,210,79,1815,35,8,66,0,53,11
Marcus Derrickson,GSW,23,79,249,11,67,0,1,2,0,5,0
Marcus Morris Sr.,BOS,29,81,235,75,2091,43,25,75,0,100,10
Marcus Smart,BOS,25,76,220,80,2200,143,28,228,14,85,32
Mario Hezonja,NYK,24,80,225,58,1206,57,8,98,1,51,6
Markelle Fultz,ORL,21,76,200,19,427,17,5,24,0,27,1
Markieff Morris,OKC,29,82,245,58,1271,36,22,66,5,79,8
Marquese Chriss,CLE,21,82,240,43,499,17,11,31,1,45,3
Marvin Bagley III,SAC,20,83,234,62,1567,33,59,50,0,55,6
Marvin Williams,CHA,33,81,237,75,2133,71,61,138,0,76,4
Mason Plumlee,DEN,29,83,235,82,1731,66,76,131,5,117,11
Matthew Dellavedova,CLE,28,76,200,48,812,14,2,31,0,27,11
Maurice Harkless,POR,26,81,220,60,1415,67,53,115,0,81,3
Maxi Kleber,DAL,27,83,240,71,1502,36,78,53,5,82,10
Melvin Frazier,ORL,22,78,200,10,44,1,0,4,0,3,2
Meyers Leonard,POR,27,85,255,61,878,13,9,21,0,48,6
Michael Beasley,LAL,30,81,235,26,277,9,10,19,0,22,0
Michael Carter-Williams,ORL,27,78,190,28,372,20,15,35,0,21,8
Michael Kidd-Gilchrist,CHA,25,79,232,64,1179,32,39,50,8,91,11
Mikal Bridges,PHX,22,79,210,82,2417,129,38,223,0,93,11
Mike Conley,MEM,31,73,175,70,2342,94,22,148,5,53,41
Mike Muscala,LAL,27,83,240,64,1306,22,38,39,0,71,8
Mike Scott,PHI,30,80,237,79,1396,26,13,47,0,85,1
Miles Bridges,CHA,21,79,225,80,1696,55,49,83,0,51,1
Miles Plumlee,ATL,30,83,249,18,173,6,4,8,0,9,1
Milos Teodosic,LAC,32,77,196,15,150,3,1,6,0,7,3
Mitchell Creek,MIN,27,78,225,5,47,2,0,2,0,1,0
Mitchell Robinson,NYK,21,85,240,66,1360,52,161,90,3,138,7
Mo Bamba,ORL,21,84,221,47,766,13,64,22,0,69,2
Monte Morris,DEN,24,75,175,82,1970,73,4,110,7,44,11
Montrezl Harrell,LAC,25,80,240,82,2158,71,110,94,19,136,30
Moritz Wagner,LAL,22,83,245,43,446,11,13,22,2,26,3
Myles Turner,IND,23,83,250,74,2119,60,199,108,1,105,11
Naz Mitrou-Long,UTA,25,76,218,14,84,1,1,4,1,6,2
Nemanja Bjelica,SAC,31,82,234,77,1788,54,56,125,0,113,2
Nene,HOU,36,83,250,42,546,18,15,44,3,41,7
Nerlens Noel,OKC,25,83,220,77,1056,66,96,149,5,66,18
Nick Young,DEN,34,79,210,4,37,0,1,0,0,2,0
Nicolas Batum,CHA,30,80,200,75,2354,71,43,142,1,42,11
Nik Stauskas,CLE,25,78,205,68,1015,21,7,30,0,30,4
Nikola Jokic,DEN,24,84,250,80,2504,108,55,195,5,94,17
Nikola Mirotic,MIL,28,82,250,46,1245,31,34,61,1,49,10
Nikola Vucevic,ORL,28,84,260,80,2510,81,89,127,0,91,6
Noah Vonleh,NYK,23,81,250,68,1722,46,51,77,4,75,15
Norman Powell,TOR,26,76,215,60,1126,39,13,69,0,26,5
